hospital,beds,category,street,city,sec,full_address,cleaned_query,fallback_query,lat,lon,geocode_provider,formatted_address,quality_note
CALOOCAN CITY NORTH MEDICAL CENTER,50,LEVEL 1,"SUSANO ROAD, BRGY. 177, CAMARIN,",CALOOCAN,G,"CALOOCAN CITY NORTH MEDICAL CENTER, CALOOCAN, Metro Manila, Philippines",caloocan city north medical center caloocan metro manila philippines,,14.7563848,121.0502375,google,"Q342+H35, Camarin Rd, Caloocan, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
CAMARIN DOCTORS HOSPITAL,105,LEVEL 2,"NO. 1 CAMARIN ROAD, BRGY. 172,
CAMARIN",CALOOCAN,P,"CAMARIN DOCTORS HOSPITAL, CALOOCAN, Metro Manila, Philippines",camarin doctors hospital caloocan metro manila philippines,,14.7533215,121.0400418,google,"1 Camarin Rd, Caloocan, Metro Manila, Philippines",CLEANED|ROOFTOP
CHINESE GENERAL HOSPITAL & MEDICAL CENTER,592,LEVEL 3,"#286 BLUMENTRITT ST.,","SANTA CRUZ, MANILA",P,"CHINESE GENERAL HOSPITAL & MEDICAL CENTER, SANTA CRUZ, MANILA, Metro Manila, Philippines",chinese general hospital & medical center santa cruz manila metro manila philippines,,14.6263316,120.9877647,google,"286 Blumentritt Rd, Santa Cruz, Manila, 1014 Metro Manila, Philippines",CLEANED|ROOFTOP
CURE AND CARE MATERNITY HOSPITAL OPC,18,LEVEL 1,"1068 HERMOSA ST., MANUGUIT,","TONDO, MANILA",P,"CURE AND CARE MATERNITY HOSPITAL OPC, TONDO, MANILA, Metro Manila, Philippines",cure and care maternity hospital opc tondo manila metro manila philippines,"CURE AND CARE MATERNITY HOSPITAL OPC, TONDO, MANILA, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
DE OCAMPO MEMORIAL MEDICAL CENTER,20,LEVEL 1,"2921 NAGTAHAN ST.,","SANTA MESA, MANILA",P,"DE OCAMPO MEMORIAL MEDICAL CENTER, SANTA MESA, MANILA, Metro Manila, Philippines",de ocampo memorial medical center santa mesa manila metro manila philippines,,14.5999326,120.9996775,google,"De Ocampo Memorial Medical Center, 2921 Nagtahan St, Santa Mesa, Manila, 1016 Metro Manila, Philippines",CLEANED|ROOFTOP
DR. JOSE FABELLA MEMORIAL HOSPITAL,700,LEVEL 3,"SAN LAZARO COMPOUND, TAYUMAN
ST.","SANTA CRUZ, MANILA",G,"DR. JOSE FABELLA MEMORIAL HOSPITAL, SANTA CRUZ, MANILA, Metro Manila, Philippines",dr. jose fabella memorial hospital santa cruz manila metro manila philippines,,14.6062156,120.9842759,google,"1003 Lope de Vega St, Santa Cruz, Manila, 1003 Metro Manila, Philippines",CLEANED|ROOFTOP
DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL AND SANITARIUM,459,LEVEL 3,"ST. JOSEPH AVENUE (DR. UYGUANCO STREET), ADMINISTRATION SITE, TALA,",CALOOCAN,G,"DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL AND SANITARIUM, CALOOCAN, Metro Manila, Philippines",dr. jose n. rodriguez memorial hospital and sanitarium caloocan metro manila philippines,,14.766534,121.0657354,google,"Saint Joseph Avenue, Tala, Caloocan, 1427 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"DR. VICTOR R. POTENCIANO MEDICAL
CENTER",170,LEVEL 3,"163 EDSA,",MANDALUYONG,P,"DR. VICTOR R. POTENCIANO MEDICAL
CENTER, MANDALUYONG, Metro Manila, Philippines",dr. victor r. potenciano medical center mandaluyong metro manila philippines,,14.5769636,121.0497818,google,"163 E. De Los Santos Avenue, East Edsa, Mandaluyong City, Mandaluyong City, 1550 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"FATIMA UNIVERSITY MEDICAL CENTER
CORPORATION",150,LEVEL 3,"120 MC ARTHUR HIGHWAY, MARULAS",VALENZUELA,P,"FATIMA UNIVERSITY MEDICAL CENTER
CORPORATION, VALENZUELA, Metro Manila, Philippines",fatima university medical center corporation valenzuela metro manila philippines,"FATIMA UNIVERSITY MEDICAL CENTER
CORPORATION, VALENZUELA, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
GAT ANDRES BONIFACIO MEDICAL CENTER,150,LEVEL 1,"8001 DELPAN ST.,","TONDO, MANILA",G,"GAT ANDRES BONIFACIO MEDICAL CENTER, TONDO, MANILA, Metro Manila, Philippines",gat andres bonifacio medical center tondo manila metro manila philippines,,14.6010315,120.9647023,google,"924 Delpan St, Tondo, Manila, 1012 Metro Manila, Philippines",CLEANED|ROOFTOP
"HOSPITAL OF THE INFANT JESUS MEDICAL
CENTER",140,LEVEL 3,"1556 LAON LAAN ROAD,","SAMPALOC, MANILA",P,"HOSPITAL OF THE INFANT JESUS MEDICAL
CENTER, SAMPALOC, MANILA, Metro Manila, Philippines",hospital of the infant jesus medical center sampaloc manila metro manila philippines,,14.6142047,120.9892005,google,"1556 Laong Laan, Lacson Ave, Sampaloc, Manila, 1008 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
JOSE R. REYES MEMORIAL MEDICAL CENTER,450,LEVEL 3,"SAN LAZARO COMPOUD, RIZAL
AVENUE,","SANTA CRUZ, MANILA",G,"JOSE R. REYES MEMORIAL MEDICAL CENTER, SANTA CRUZ, MANILA, Metro Manila, Philippines",jose r. reyes memorial medical center santa cruz manila metro manila philippines,"JOSE R. REYES MEMORIAL MEDICAL CENTER, SANTA CRUZ, MANILA, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"JUSTICE JOSE ABAD SANTOS GENERAL
HOSPITAL",150,LEVEL 1,"NUMANCIA ST.,","BINONDO, MANILA",G,"JUSTICE JOSE ABAD SANTOS GENERAL
HOSPITAL, BINONDO, MANILA, Metro Manila, Philippines",justice jose abad santos general hospital binondo manila metro manila philippines,,14.597597,120.97194,google,"HXXC+2QP, Numancia St, Binondo, Manila, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"LADY OF LOURDES HOSPITAL & COLLEGES OF CAYBIGA, INC.",12,INF/DISP,"15 GEN. LUIS ST., CAYBIGA,",CALOOCAN,P,"LADY OF LOURDES HOSPITAL & COLLEGES OF CAYBIGA, INC., CALOOCAN, Metro Manila, Philippines",lady of lourdes hospital & colleges of caybiga inc. caloocan metro manila philippines,"LADY OF LOURDES HOSPITAL & COLLEGES OF CAYBIGA, INC., CALOOCAN, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"MALABON HOSPITAL AND MEDICAL CENTER,
INC.",42,LEVEL 2,"264 GOV. PASCUAL, BRGY. CATMON,",MALABON,P,"MALABON HOSPITAL AND MEDICAL CENTER,
INC., MALABON, Metro Manila, Philippines",malabon hospital and medical center inc. malabon metro manila philippines,"MALABON HOSPITAL AND MEDICAL CENTER,
INC., MALABON, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
MANDALUYONG CITY MEDICAL CENTER,200,LEVEL 2,"C3 ROAD F. MARTINEZ AVE. ADDITION
HILLS",MANDALUYONG,G,"MANDALUYONG CITY MEDICAL CENTER, MANDALUYONG, Metro Manila, Philippines",mandaluyong city medical center mandaluyong metro manila philippines,,14.582747,121.03664,google,"F. Martinez Ave, Mandaluyong City, 1550 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"MANILA CENTRAL UNIVERSITY-DR. FILEMON
D. TANCHOCO, SR. MEDICAL FOUNDATION, INC.",81,LEVEL 3,"EDSA,",CALOOCAN,P,"MANILA CENTRAL UNIVERSITY-DR. FILEMON
D. TANCHOCO, SR. MEDICAL FOUNDATION, INC., CALOOCAN, Metro Manila, Philippines",manila central university-dr. filemon d. tanchoco sr. medical foundation inc. caloocan metro manila philippines,,14.657555,120.9871406,google,"MCU Hospital, Morning Breeze Subdivision, Caloocan, 1400 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
MANILA DOCTORS HOSPITAL,300,LEVEL 3,"667 UNITED NATIONS AVE.,","ERMITA, MANILA",P,"MANILA DOCTORS HOSPITAL, ERMITA, MANILA, Metro Manila, Philippines",manila doctors hospital ermita manila metro manila philippines,"MANILA DOCTORS HOSPITAL, ERMITA, MANILA, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"MARKVIM HOSPITAL, INC.",8,INF/DISP,"B8 L49 DAHLIA ST., ALMAR SUBD.,
CAMARIN,",CALOOCAN,P,"MARKVIM HOSPITAL, INC., CALOOCAN, Metro Manila, Philippines",markvim hospital inc. caloocan metro manila philippines,"MARKVIM HOSPITAL, INC., CALOOCAN, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"MARTINEZ MEMORIAL HOSPITAL, INC.",12,LEVEL 1,"198 A. MABINI ST., MAYPAJO,",CALOOCAN,P,"MARTINEZ MEMORIAL HOSPITAL, INC., CALOOCAN, Metro Manila, Philippines",martinez memorial hospital inc. caloocan metro manila philippines,"MARTINEZ MEMORIAL HOSPITAL, INC., CALOOCAN, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"MARY CHILES GENERAL HOSPITAL, INC.",100,LEVEL 3,"667 GASTAMBIDE ST.,","SAMPALOC, MANILA",P,"MARY CHILES GENERAL HOSPITAL, INC., SAMPALOC, MANILA, Metro Manila, Philippines",mary chiles general hospital inc. sampaloc manila metro manila philippines,"MARY CHILES GENERAL HOSPITAL, INC., SAMPALOC, MANILA, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"MARY JOHNSTON HOSPITAL, INC.",120,LEVEL 3,"1221 JUAN NOLASCO ST.,","TONDO, MANILA",P,"MARY JOHNSTON HOSPITAL, INC., TONDO, MANILA, Metro Manila, Philippines",mary johnston hospital inc. tondo manila metro manila philippines,"MARY JOHNSTON HOSPITAL, INC., TONDO, MANILA, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"MEDICAL CENTER MANILA, INC.",200,LEVEL 3,"850 UNITED NATIONS ST.,","ERMITA, MANILA",P,"MEDICAL CENTER MANILA, INC., ERMITA, MANILA, Metro Manila, Philippines",medical center manila inc. ermita manila metro manila philippines,,14.5821698,120.982658,google,"667 United Nations Ave, Ermita, Manila, 1000 Metro Manila, Philippines",CLEANED|ROOFTOP
METROPOLITAN MEDICAL CENTER,295,LEVEL 3,"1357 MASANGKAY ST.,","SANTA CRUZ, MANILA",P,"METROPOLITAN MEDICAL CENTER, SANTA CRUZ, MANILA, Metro Manila, Philippines",metropolitan medical center santa cruz manila metro manila philippines,,14.6096242,120.9784419,google,"1357 Masangkay St, Santa Cruz, Manila, 1008 Metro Manila, Philippines",CLEANED|ROOFTOP
NATIONAL CENTER FOR MENTAL HEALTH,4200,LEVEL 3,"9 DE FEBRERO ST.,",MANDALUYONG,G,"NATIONAL CENTER FOR MENTAL HEALTH, MANDALUYONG, Metro Manila, Philippines",national center for mental health mandaluyong metro manila philippines,,14.581611,121.0441502,google,"H2JV+JMR, Nueve de Febrero, Mandaluyong City, Kalakhang Maynila, Philippines",CLEANED|GEOMETRIC_CENTER
NAVOTAS CITY HOSPITAL,50,LEVEL 1,"M. NAVAL ST., BRGY. SAN JOSE,",NAVOTAS,G,"NAVOTAS CITY HOSPITAL, NAVOTAS, Metro Manila, Philippines",navotas city hospital navotas metro manila philippines,,14.6603801,120.9460787,google,"M. Naval St, Navotas, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
NODADO GENERAL HOSPITAL,40,LEVEL 1,"CAPT. SAMANO ST., AREA A CAMARIN,
BRGY. 175,",CALOOCAN,P,"NODADO GENERAL HOSPITAL, CALOOCAN, Metro Manila, Philippines",nodado general hospital caloocan metro manila philippines,,14.763251,121.04412,google,"Q27V+8J5, Capt. F. S. Samano, Camarin, Caloocan, 1400 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"NORTH CALOOCAN DOCTORS HOSPITAL, INC.",29,LEVEL 1,"L31 B10 QUIRINO HIGHWAY, BANKERS
VILLAGE 2,",CALOOCAN,P,"NORTH CALOOCAN DOCTORS HOSPITAL, INC., CALOOCAN, Metro Manila, Philippines",north caloocan doctors hospital inc. caloocan metro manila philippines,"NORTH CALOOCAN DOCTORS HOSPITAL, INC., CALOOCAN, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
OSPITAL NG MALABON,34,LEVEL 1,"F. SEVILLA BOULEVARD, TAÑONG,",MALABON,G,"OSPITAL NG MALABON, MALABON, Metro Manila, Philippines",ospital ng malabon malabon metro manila philippines,,14.6572718,120.950608,google,"MX42+W65, Malabon, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
OSPITAL NG MAYNILA MEDICAL CENTER,300,LEVEL 3,"PRES. QUIRINO AVE. COR. ROXAS BLVD.,","MALATE, MANILA",G,"OSPITAL NG MAYNILA MEDICAL CENTER, MALATE, MANILA, Metro Manila, Philippines",ospital ng maynila medical center malate manila metro manila philippines,"OSPITAL NG MAYNILA MEDICAL CENTER, MALATE, MANILA, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
OSPITAL NG SAMPALOC,50,LEVEL 1,"677 GERONIMO ST. COR. CAROLA ST.,","SAMPALOC, MANILA",G,"OSPITAL NG SAMPALOC, SAMPALOC, MANILA, Metro Manila, Philippines",ospital ng sampaloc sampaloc manila metro manila philippines,,14.6076187,120.9968061,google,"677 Gen. Geronimo St, Sampaloc, Manila, 1008 Metro Manila, Philippines",CLEANED|ROOFTOP
OSPITAL NG TONDO,50,LEVEL 1,"BRGY. 215, JOSE ABAD SANTOS AVE.,","TONDO, MANILA",G,"OSPITAL NG TONDO, TONDO, MANILA, Metro Manila, Philippines",ospital ng tondo tondo manila metro manila philippines,,14.625964,120.978381,google,"1171 Abad Santos Ave, Tondo, Manila, Metro Manila, Philippines",CLEANED|ROOFTOP
"OUR LADY OF GRACE HOSPITAL, INC.",28,LEVEL 1,"8TH AVENUE COR. F. ROXAS ST., WEST
GRACE PARK,",CALOOCAN,P,"OUR LADY OF GRACE HOSPITAL, INC., CALOOCAN, Metro Manila, Philippines",our lady of grace hospital inc. caloocan metro manila philippines,"OUR LADY OF GRACE HOSPITAL, INC., CALOOCAN, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
OUR LADY OF LOURDES HOSPITAL,230,LEVEL 3,"46 P. SANCHEZ ST.,","SANTA MESA, MANILA",P,"OUR LADY OF LOURDES HOSPITAL, SANTA MESA, MANILA, Metro Manila, Philippines",our lady of lourdes hospital santa mesa manila metro manila philippines,,14.5949547,121.0225571,google,"46 P. Sanchez St, Santa Mesa, Manila, Metro Manila, Philippines",CLEANED|ROOFTOP
"PERPETUAL SUCCOR HOSPITAL & MATERNITY, INC.",65,LEVEL 1,"836 F. CAYCO ST.,","SAMPALOC, MANILA",P,"PERPETUAL SUCCOR HOSPITAL & MATERNITY, INC., SAMPALOC, MANILA, Metro Manila, Philippines",perpetual succor hospital & maternity inc. sampaloc manila metro manila philippines,"PERPETUAL SUCCOR HOSPITAL & MATERNITY, INC., SAMPALOC, MANILA, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"PRESIDENTIAL SECURITY COMMAND STATION
HOSPITAL",20,INF/DISP,"1939 MENDOZA GUANZON, MALACAÑANG PARK,","ERMITA, MANILA",G,"PRESIDENTIAL SECURITY COMMAND STATION
HOSPITAL, ERMITA, MANILA, Metro Manila, Philippines",presidential security command station hospital ermita manila metro manila philippines,"PRESIDENTIAL SECURITY COMMAND STATION
HOSPITAL, ERMITA, MANILA, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
SAN LAZARO HOSPITAL,363,LEVEL 3,"QUIRICADA ST.,","SANTA CRUZ, MANILA",G,"SAN LAZARO HOSPITAL, SANTA CRUZ, MANILA, Metro Manila, Philippines",san lazaro hospital santa cruz manila metro manila philippines,,14.6136699,120.9808847,google,"JX7J+F96, Quiricada St, Santa Cruz, Manila, 1003 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"SAN LORENZO HOSPITAL HEALTH
MANAGEMENT CO., INC.",15,INF/DISP,"24 SUSANO RD., BRGY. 170,  ZONE 15, DEPARO,",CALOOCAN,P,"SAN LORENZO HOSPITAL HEALTH
MANAGEMENT CO., INC., CALOOCAN, Metro Manila, Philippines",san lorenzo hospital health management co. inc. caloocan metro manila philippines,"SAN LORENZO HOSPITAL HEALTH
MANAGEMENT CO., INC., CALOOCAN, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
SAN LORENZO RUIZ GENERAL HOSPITAL,10,LEVEL 1,"25 O. REYES ST., SANTULAN",MALABON,G,"SAN LORENZO RUIZ GENERAL HOSPITAL, MALABON, Metro Manila, Philippines",san lorenzo ruiz general hospital malabon metro manila philippines,,14.687903,120.9552991,google,"90 Panghulo Rd, Malabon, Metro Manila, Philippines",CLEANED|ROOFTOP
SEAMEN'S HOSPITAL,100,LEVEL 3,"CABILDO ST., COR. SAN JOSE ST.,","INTRAMUROS, MANILA",P,"SEAMEN'S HOSPITAL, INTRAMUROS, MANILA, Metro Manila, Philippines",seamen's hospital intramuros manila metro manila philippines,,14.5874752,120.9776263,google,"San Jose St, Intramuros, Manila, 1002 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
STA. ANA HOSPITAL,300,LEVEL 3,"2629 NEW PANADEROS ST.,","STA. ANA, MANILA",G,"STA. ANA HOSPITAL, STA. ANA, MANILA, Metro Manila, Philippines",sta. ana hospital sta. ana manila metro manila philippines,,14.583686,121.0163581,google,"Santa Ana Hospital, Santa Ana, Manila, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
TONDO MEDICAL CENTER,300,LEVEL 3,"HONORIO LOPEZ BOULEVARD, BALUT,","TONDO, MANILA",G,"TONDO MEDICAL CENTER, TONDO, MANILA, Metro Manila, Philippines",tondo medical center tondo manila metro manila philippines,,14.6348716,120.9630926,google,"Honorio Lopez Blvd, Tondo, Manila, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"TRINITY WOMAN & CHILD CENTER ""THE
BIRTHPLACE""",18,LEVEL 1,"2732 NEW PANADEROS ST.,","STA. ANA, MANILA",P,"TRINITY WOMAN & CHILD CENTER ""THE
BIRTHPLACE"", STA. ANA, MANILA, Metro Manila, Philippines","trinity woman & child center ""the birthplace"" sta. ana manila metro manila philippines","TRINITY WOMAN & CHILD CENTER ""THE
BIRTHPLACE"", STA. ANA, MANILA, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
UNIVERSITY OF SANTO TOMAS HOSPITAL,700,LEVEL 3,"ESPAÑA BOULEVARD,","SAMPALOC, MANILA",P,"UNIVERSITY OF SANTO TOMAS HOSPITAL, SAMPALOC, MANILA, Metro Manila, Philippines",university of santo tomas hospital sampaloc manila metro manila philippines,,14.6107432,120.9902641,google,"España Blvd, Sampaloc, Manila, 1015 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
UP-PHILIPPINE GENERAL HOSPITAL,1334,LEVEL 3,"TAFT AVENUE,","ERMITA, MANILA",G,"UP-PHILIPPINE GENERAL HOSPITAL, ERMITA, MANILA, Metro Manila, Philippines",up-philippine general hospital ermita manila metro manila philippines,"UP-PHILIPPINE GENERAL HOSPITAL, ERMITA, MANILA, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"VALENZUELA CITICARE MEDICAL CENTER - TIMOG HILAGA PROVIDENCE GROUP, INC.",40,LEVEL 2,"KM. 14 MC ARTHUR HIGHWAY, MALINTA,",VALENZUELA,P,"VALENZUELA CITICARE MEDICAL CENTER - TIMOG HILAGA PROVIDENCE GROUP, INC., VALENZUELA, Metro Manila, Philippines",valenzuela citicare medical center - timog hilaga providence group inc. valenzuela metro manila philippines,"VALENZUELA CITICARE MEDICAL CENTER - TIMOG HILAGA PROVIDENCE GROUP, INC., VALENZUELA, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
VALENZUELA CITY EMERGENCY HOSPITAL,20,INF/DISP,"G. LAZARO ST., DALANDANAN,",VALENZUELA,G,"VALENZUELA CITY EMERGENCY HOSPITAL, VALENZUELA, Metro Manila, Philippines",valenzuela city emergency hospital valenzuela metro manila philippines,,14.708803,120.957731,google,"PX55+G3H, G. Lazaro Street, Valenzuela, 1443 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
VALENZUELA MEDICAL CENTER,150,LEVEL 3,"PADRIGAL ST., KARUHATAN,",VALENZUELA,G,"VALENZUELA MEDICAL CENTER, VALENZUELA, Metro Manila, Philippines",valenzuela medical center valenzuela metro manila philippines,,14.6898788,120.978154,google,"MXQH+X72, Padrigal St, Valenzuela, 1441 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
VIAN FAMILY HOSPITAL,12,INF/DISP,"3008 GEN. T. DE LEON,",VALENZUELA,P,"VIAN FAMILY HOSPITAL, VALENZUELA, Metro Manila, Philippines",vian family hospital valenzuela metro manila philippines,,14.6848979,120.9891333,google,"3008 Gen. T. de Leon, Valenzuela, 1442 Metro Manila, Philippines",CLEANED|ROOFTOP
A. ZARATE GENERAL HOSPITAL,17,LEVEL 1,"ATLAS COMPOUND, NAGA RD.,
PULANG LUPA UNO,",LAS PIÑAS,P,"A. ZARATE GENERAL HOSPITAL, LAS PIÑAS, Metro Manila, Philippines",a. zarate general hospital las pinas metro manila philippines,,14.4685359,120.980585,google,"13-765 Atlas compond, Naga Rd, Las Piñas, 2011 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
ADVENTIST MEDICAL CENTER MANILA,150,LEVEL 3,"#1975 DONADA ST.,",PASAY,P,"ADVENTIST MEDICAL CENTER MANILA, PASAY, Metro Manila, Philippines",adventist medical center manila pasay metro manila philippines,"ADVENTIST MEDICAL CENTER MANILA, PASAY, Metro Manila, Philippines, Metro Manila, Philippines",14.5557941,120.9955069,google,"1975 Corner Donada and, San Juan, Pasay City, 1300 Metro Manila, Philippines",FALLBACK_FULL|GEOMETRIC_CENTER
AIR FORCE GENERAL HOSPITAL,100,LEVEL 2,"COLONEL JESUS VILLAMOR AIR BASE,",PASAY,G,"AIR FORCE GENERAL HOSPITAL, PASAY, Metro Manila, Philippines",air force general hospital pasay metro manila philippines,,14.516937,121.019969,google,"G289+QXH, Pasay City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
ALABANG MEDICAL CENTER,18,LEVEL 1,"ALABANG ZAPOTE ROAD,",MUNTINLUPA,P,"ALABANG MEDICAL CENTER, MUNTINLUPA, Metro Manila, Philippines",alabang medical center muntinlupa metro manila philippines,,14.4276189,121.0245304,google,"Alabang–Zapote Rd, Muntinlupa, 1771 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
ALABANG MEDICAL CLINIC,30,LEVEL 2,"90 M. L. QUEZON ST., ALABANG,",MUNTINLUPA,P,"ALABANG MEDICAL CLINIC, MUNTINLUPA, Metro Manila, Philippines",alabang medical clinic muntinlupa metro manila philippines,,14.4193306,121.0500039,google,"ML Quezon, 90 Wawa St, Alabang, Muntinlupa, 1770 Metro Manila, Philippines",CLEANED|ROOFTOP
"ALABANG MEDICAL CLINIC - LAS PIÑAS
BRANCH",18,LEVEL 1,"ALABANG-ZAPOTE RD. COR. PELAYO VILLAGE, TALON,",LAS PIÑAS,P,"ALABANG MEDICAL CLINIC - LAS PIÑAS
BRANCH, LAS PIÑAS, Metro Manila, Philippines",alabang medical clinic - las pinas branch las pinas metro manila philippines,"ALABANG MEDICAL CLINIC - LAS PIÑAS
BRANCH, LAS PIÑAS, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"ALABANG MEDICAL CLINIC - MUNTINLUPA
BRANCH",25,LEVEL 1,"1 NATIONAL ROAD, PUTATAN,",MUNTINLUPA,P,"ALABANG MEDICAL CLINIC - MUNTINLUPA
BRANCH, MUNTINLUPA, Metro Manila, Philippines",alabang medical clinic - muntinlupa branch muntinlupa metro manila philippines,,14.390999,121.044445,google,"1 National Highway, Muntinlupa, 1776 Metro Manila, Philippines",CLEANED|ROOFTOP
ALFONSO SPECIALIST HOSPITAL,22,LEVEL 1,"185 DR. SIXTO ANTONIO AVE.,
ROSARIO,",PASIG,P,"ALFONSO SPECIALIST HOSPITAL, PASIG, Metro Manila, Philippines",alfonso specialist hospital pasig metro manila philippines,,14.5901372,121.0846938,google,"185 Dr. Sixto Antonio Ave., Pasig, 1609 Metro Manila, Philippines",CLEANED|ROOFTOP
"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER-PATEROS, INC.",58,LEVEL 2,"884 P. HERRERA ST., AGUHO,",PATEROS,P,"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER-PATEROS, INC., PATEROS, Metro Manila, Philippines",allied care experts (ace) medical center-pateros inc. pateros metro manila philippines,"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER-PATEROS, INC., PATEROS, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
ARMY GENERAL HOSPITAL,200,LEVEL 1,"FORT ANDRES BONIFACIO,",TAGUIG,G,"ARMY GENERAL HOSPITAL, TAGUIG, Metro Manila, Philippines",army general hospital taguig metro manila philippines,,14.5311129,121.0476263,google,"1634 MGEN M Castaneda St, Taguig, 1630 Metro Manila, Philippines",CLEANED|ROOFTOP
"ASIAN HOSPITAL, INC.",296,LEVEL 3,"2205 CIVIC DRIVE, FILINVEST
CORPORATE CITY, ALABANG",MUNTINLUPA,P,"ASIAN HOSPITAL, INC., MUNTINLUPA, Metro Manila, Philippines",asian hospital inc. muntinlupa metro manila philippines,"ASIAN HOSPITAL, INC., MUNTINLUPA, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"BICUTAN MEDICAL CENTER, INC.",100,LEVEL 2,"191 M.L. QUEZON ST., NEW LOWER
BICUTAN",TAGUIG,P,"BICUTAN MEDICAL CENTER, INC., TAGUIG, Metro Manila, Philippines",bicutan medical center inc. taguig metro manila philippines,"BICUTAN MEDICAL CENTER, INC., TAGUIG, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
CALLEJO MEDICAL CLINIC,10,INF/DISP,"545-A TALON GARDEN, TALON UNO,",LAS PIÑAS,P,"CALLEJO MEDICAL CLINIC, LAS PIÑAS, Metro Manila, Philippines",callejo medical clinic las pinas metro manila philippines,,14.4433933,120.9960634,google,"545 Alabang–Zapote Rd, Las Piñas, 1747 Metro Manila, Philippines",CLEANED|ROOFTOP
"CHRIST THE KING MEDICAL CENTER
UNIHEALTH LAS PIÑAS, INC.",30,LEVEL 2,"130 REAL ST., PAMPLONA UNO,",LAS PIÑAS,P,"CHRIST THE KING MEDICAL CENTER
UNIHEALTH LAS PIÑAS, INC., LAS PIÑAS, Metro Manila, Philippines",christ the king medical center unihealth las pinas inc. las pinas metro manila philippines,"CHRIST THE KING MEDICAL CENTER
UNIHEALTH LAS PIÑAS, INC., LAS PIÑAS, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"CRUZ-RABE MATERNITY & GENERAL
HOSPITAL",25,LEVEL 1,"37 GEN. LUNA ST., BRGY. TUKTUKAN,",TAGUIG,P,"CRUZ-RABE MATERNITY & GENERAL
HOSPITAL, TAGUIG, Metro Manila, Philippines",cruz-rabe maternity & general hospital taguig metro manila philippines,,14.5293262,121.0707476,google,"37 Gen. Luna St, Taguig, 1634 Metro Manila, Philippines",CLEANED|ROOFTOP
E. ZARATE HOSPITAL,15,LEVEL 1,"16 J. AGUILAR AVENUE, TALON I,",LAS PIÑAS,P,"E. ZARATE HOSPITAL, LAS PIÑAS, Metro Manila, Philippines",e. zarate hospital las pinas metro manila philippines,,14.4467366,120.9942445,google,"16 CAA Rd, Las Piñas, 1747 Metro Manila, Philippines",CLEANED|ROOFTOP
