title,project_unit,project_name,area,floor_area,price,location,bedrooms,bathrooms,floor,condition,property_type,offer_type,construction_year,parking_spaces,ownership_type,project_link,publish_by
READY FOR OCCUPANCY AND PRE-SELLING CONDO ALONG TAFT AIRBNB QUANTUM RESIDENCES,,,,21 sqm,"₱ 3,800,000","Pasay, Metro Manila",,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,Roland Nacion
AIRBNB CONDO ALONG TAFT LRT QUANTUM RESIDENCES,,,,21 sqm,"₱ 3,800,000","Pasay, Metro Manila",,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,Roland Nacion
Ready for occupancy condo in pasay one bedroom taft avenue,,,,31 sqm,,"San Isidro, Pasay",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
condo in pasay quantum residences pre selling rfo near macapagal roxas blvd mall of asia pasay,Quantum Residences,Quantum Residences,,24 sqm,"₱ 4,800,900","San Isidro, Pasay",,1 bathroom,21,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Kristine Joy Pascua
Ready for occupancy condo in pasay one bedroom one bedroom two bedroom,,,,31 sqm,,"San Isidro, Pasay",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
Ready for occupancy condo in pasay one bedroom city liberdad taft avenue,,,,32 sqm,,"San Isidro, Pasay",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
Rent to own Condo one bedroom ready for occupancy area quantum residence,,,,33 sqm,,"San Isidro, Pasay",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
Rent to own Condo one bedroom ready for occupancy mall of asia taft avenue,,,,31 sqm,,"San Isidro, Pasay",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
Rent to own Condo one bedroom ready for occupancy city area,,,,31 sqm,,"San Isidro, Pasay",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
Rent to own one bedroom condo Ready for occupancy taft ave one br with balcony,,,,32 sqm,,"San Isidro, Pasay",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
Rent to own one bedroom condo Ready for occupancy taft ave one bedroom,,,,31 sqm,,"San Isidro, Pasay",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
Rent to own Condo one bedroom ready for occupancy near MOA,,,,31 sqm,,"San Isidro, Pasay",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
Rent to own one bedroom condo Ready for occupancy avenue gil puyat buendia,,,,31 sqm,,"Pasay, Metro Manila",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
Rent to own one bedroom condo Ready for occupancy avenue macapagal roxas,,,,33 sqm,,"Pasay, Metro Manila",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
Ready for occupancy condo in pasay one bedroom near casino,,,,31 sqm,,"Pasay, Metro Manila",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
Ready for occupancy condo in pasay one bedroom mall of asia arellano,,,,31 sqm,,"Pasay, Metro Manila",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
Pasay condo for sale one bedroom in pasay area city makati manila,,,,32 sqm,,"Pasay, Metro Manila",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
Pasay condo for sale one bedroom o in pasay federal land inc,,,,31 sqm,,"Pasay, Metro Manila",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
Pasay condo for sale one bedroom in pasay roxas airport manila bay,,,,31 sqm,,"Pasay, Metro Manila",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
Pasay condo for sale one bedroom For sale condominium in pasay liveriza,,,,33 sqm,,"Pasay, Metro Manila",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
Pasay condo for sale one bedroom For sale condominium in pasay mall of asia,,,,31 sqm,,"Pasay, Metro Manila",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
Pasay condo for sale one bedroom in pasay bay area quantum,,,,31 sqm,,"Pasay, Metro Manila",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
Pasay condo for sale one bedroom For sale condominium in pasay harizon,,,,31 sqm,,"Pasay, Metro Manila",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
Pasay condo for sale one bedroom For sale condominium in pasay gil puyat lrt,,,,32 sqm,,"Pasay, Metro Manila",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
Rent to own ready for occupancy condo in pasay one bedroom cartimar buendia gil puyat lrt makati,,,,31 sqm,,"Pasay, Metro Manila",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
Rent to own condo in pasay one bedroom bay area roxas bvld,,,,31 sqm,,"Pasay, Metro Manila",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
Rent to own ready for occupancy condo in pasay one bedroom bay area quantum,,,,33 sqm,,"Pasay, Metro Manila",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
Rent to own condo in pasay one bedroom near university mall of asia arellano,,,,32 sqm,,"Pasay, Metro Manila",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
Rent to own ready for occupancy condo in pasay one bedroom manila bay libertad moa,,,,31 sqm,,"Pasay, Metro Manila",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
Rent to own condo in pasay one bedroom libertad moa area city  la salle near casino,,,,31 sqm,,"Pasay, Metro Manila",,,,,Condo,Buy & Rent,,,,,Kristine Joy Pascua
RFO Condo 2 Bedroom unit  in Pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 5,600,000","Bay City, Pasay",2 bedrooms,1 bathroom,,Unfurnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/palm-beach-west/,Federal Land Condo Projects PH
rfo condominium in pasay palm beach west ready for occupancy 2bedroom near macapagal roxas blvd pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,300,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,21,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
condominium in pasay palm beach west rent to own ready for occupancy 2bedroom near macapagl roxas blvd pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,400,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,21,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
rfo condominium in pasay 2bedroom near macapagal roxas blvd mall of asia pasay city,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,400,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,12,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
rfo condo in pasay palm beach west rent to own palm beach west 2bedroom w/ balcony,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,300,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,21,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
rfo condominium in pasay palm beach west rent to own near macapagal roxas blvd pasay,,,,38 sqm,"₱ 8,300,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,12,Partly furnished,Condo,For Sale,,,Freehold,,Kristine Joy Pascua
rfo condominium in pasay palm beach west rent to own ready for occupancy near mall of asia la salle pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,400,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,12,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
condominium in pasay studio w/ balcony quantum residences near libertad cartimar la salle arellano pasay,Quantum Residences,Quantum Residences,,21 sqm,"₱ 4,800,000","San Isidro, Pasay",,1 bathroom,12,Partly furnished,Condo,For Sale,,,Leasehold,https://www.lamudi.com.ph/projects/quantum-residences/,Kristine Joy Pascua
Condo in pasay quantum residences near libertad cartimar la salle mall of asia pasay,Quantum Residences,Quantum Residences,,24 sqm,"₱ 4,800,000","San Isidro, Pasay",,1 bathroom,12,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Kristine Joy Pascua
codno in pasay palm beach west rent to own ready for occupancy near macapagal roxas blvd mall of asia pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,309,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,21,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
rfo condominium in pasay palm beach west rent to own 2br pet friendly near macapagal roxas blvd pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,400,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,21,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
rfo condominium in pasay palm beach west 2br rent to ownpet friendly near macapagal roxas blvd pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,300,900","Pasay, Metro Manila",2 bedrooms,1 bathroom,12,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
rfo 2bedroom rent to own near macapagal roxas blvd mall of asia pet friendly condominium,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,490,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,21,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
rfo condominium 2br pet friendly near macapagal roxas blvd mall of asia pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,300,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,21,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
rfo condominium in pasay palm ebach west 2br pet friendly condominium near macapagal roxas blvd pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,300,900","Pasay, Metro Manila",2 bedrooms,1 bathroom,11,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
rfo condo in pasay palm beach west rent to own 2bedroom near macapagal roxas blvd mall of asia pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,300,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,12,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
condo in pasay quantum residences rfo and pre selling near libertad cartimar la salle st benilde pasay,Quantum Residences,Quantum Residences,,24 sqm,"₱ 4,800,000","San Isidro, Pasay",,1 bathroom,12,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Kristine Joy Pascua
quantum residences studio for sale in taft ave pasay near libertad cartimar la salle pasay,Quantum Residences,Quantum Residences,,24 sqm,"₱ 4,800,800","San Isidro, Pasay",,1 bathroom,21,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Kristine Joy Pascua
for sale condominium in pasay taft ave quantum residences near libertad cartimar la salle pasay,Quantum Residences,Quantum Residences,,24 sqm,"₱ 4,800,000","San Isidro, Pasay",,1 bathroom,12,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Kristine Joy Pascua
rfo condominium in pasay palm beach west rent to own 2br near macapagal mall of asia pasay,,,,38 sqm,"₱ 8,390,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,12,Partly furnished,Condo,For Sale,,,Freehold,,Kristine Joy Pascua
rfo 2bedroom condo in pasay rent to own near macapagal roxas blvd mall of asia pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,300,900","Pasay, Metro Manila",2 bedrooms,1 bathroom,12,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
rfo condomonium in pasay palm beach west rent to own 2bedroom near macapagal roxas blvd pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,300,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,12,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
rfo condominium in pasay palm beach west rent to own near macapagal roxas blvd mall of asia pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,300,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,21,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
For Sale Condo in Pasay City,Quantum Residences,Quantum Residences,,26 sqm,"₱ 4,560,000","San Isidro, Pasay",2 bedrooms,1 bathroom,31,,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
For Sale Condo in Pasay City Studio with Balcony near Makati city,Quantum Residences,Quantum Residences,,26 sqm,"₱ 4,560,000","San Isidro, Pasay",2 bedrooms,1 bathroom,31,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
For Sale Condo in Pasay City Studio with Balcony near Makati city,Quantum Residences,Quantum Residences,,26 sqm,"₱ 4,560,000","San Isidro, Pasay",2 bedrooms,1 bathroom,11,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
For Sale Condo in Pasay City Studio,Quantum Residences,Quantum Residences,,26 sqm,"₱ 4,560,000","San Isidro, Pasay",2 bedrooms,1 bathroom,11,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
For Sale Condo in Pasay City Studio,Quantum Residences,Quantum Residences,,26 sqm,"₱ 4,560,000","San Isidro, Pasay",1 bedroom,1 bathroom,11,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
For Sale Condo in Pasay City near De La Salle Manila University,Quantum Residences,Quantum Residences,,26 sqm,"₱ 4,560,000","San Isidro, Pasay",,1 bathroom,23,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
For Sale Condo in Pasay City,Quantum Residences,Quantum Residences,,26 sqm,"₱ 4,560,000","San Isidro, Pasay",,1 bathroom,23,,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
rfo condominium in pasay pasay palm beach west rent to own near macapagal roxas blvd pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,390,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,21,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
rfo condominium in pasay palm ebsch west near macapagal roxas blvd pasay 2bedroom condo,Palm Beach West,Palm Beach West,,38 sqm,"₱ 7,300,900","Pasay, Metro Manila",2 bedrooms,1 bathroom,12,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
For Sale Condo in Pasay City,Quantum Residences,Quantum Residences,,26 sqm,"₱ 4,560,000","San Isidro, Pasay",2 bedrooms,1 bathroom,11,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
28K Monthly 1 Bedroom with Balcony Shore Residences at SM MOA,Shore 3 Residences,Shore 3 Residences,,26 sqm,"₱ 1,440,000","Pasay Rotonda, Pasay",1 bedroom,1 bathroom,,Unfurnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/shore-3-residences/,Edbert Jims Diaz
rfo condo in pasay palm beach west rent to own near macapagal roxas blvd mall of asia pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,300,900","Pasay, Metro Manila",2 bedrooms,1 bathroom,12,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
rfo condominium in pasay palm ebach west rent to own 2bedroom near macapagal roxas blvd pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,300,900","Pasay, Metro Manila",2 bedrooms,1 bathroom,11,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
rfo 2bedroom condo in pasay palm beach west rent to own near macapagal roxas blvd pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,300,900","Pasay, Metro Manila",2 bedrooms,1 bathroom,12,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
rfo condominium in pasay palm beach west rent to own near macapagal roxas blvd pasay  2br,,,,38 sqm,"₱ 8,400,900","Pasay, Metro Manila",2 bedrooms,1 bathroom,12,Partly furnished,Condo,For Sale,,,Freehold,,Kristine Joy Pascua
quantum residences condominium in pasay near arellano libertad cartimar pasay studio w/ balcony,Quantum Residences,Quantum Residences,,24 sqm,"₱ 4,500,000","San Isidro, Pasay",1 bedroom,,12,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Kristine Joy Pascua
rfo condo in pasay palm beach west 2br pet friendly near macapagal roxas blvd pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,400,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,12,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
rfo condominium in pasay rent to own palm beach west near macapagal roxas blvd pasay 2bedroom,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,300,900","Pasay, Metro Manila",2 bedrooms,1 bathroom,12,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
condominium in pasay palm beach west 2br pet friendly near macapagal roxas blvd pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,390,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,21,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
rfo condominium in pasay palm beach west rent to own near macapagal roxas blvd pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,400,900","Pasay, Metro Manila",2 bedrooms,1 bathroom,12,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
rfo condominium in pasay palm beach west 2bedroom near macapagal roxas pet friendly,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,400,900","Pasay, Metro Manila",2 bedrooms,1 bathroom,12,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
for sale condominium in pasay rfo rent to own 2bedroom near macapagal roxas blvd pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,400,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,21,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
For Sale: 1-Bedroom unit in Renaissance 3000,,,,91 sqm,"₱ 9,134,000","Pasay, Metro Manila",1 bedroom,1 bathroom,,Unfurnished,Condo,For Sale,,1,,,Brad Zafe
rfo condominium in pasay palm beach west rent to own near macapagal roxas blvd pasay 2br,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,400,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,21,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
rfo rent to own palm beach west 2br condominium near macapagal mall of asia macapaga; roxas blvd,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,400,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,12,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
rfo condominium in pasay palm beach west rent to own near macapagal roxas blvd double dragon pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,390,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,11,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
Affordable condo in Pasay Quantum Residences Ready for Occupancy near Makati city,Quantum Residences,Quantum Residences,,26 sqm,"₱ 4,650,000","San Isidro, Pasay",,1 bathroom,23,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
rfo condominium in pasay palm beach west rent to own near macapagal roxas blvd met live pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,390,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,12,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
rfo condominium in pasay palm ebach west rent to own near macapagal roxas blvd mall of asia pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,400,900","Pasay, Metro Manila",2 bedrooms,1 bathroom,11,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
Affordable condo in Pasay Quantum Residences Ready for Occupancy near Makati city,Quantum Residences,Quantum Residences,,26 sqm,"₱ 4,650,000","San Isidro, Pasay",,1 bathroom,23,,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
2br condo in pasay palm beach west near macapagal roxas blvd rent to own condominium,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,400,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,21,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
AIRBNB CONDO ALONG TAFT LRT QUANTUM RESIDENCES,,,,28 sqm,"₱ 4,300,000","Pasay, Metro Manila",1 bedroom,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,Roland Nacion
CONDO FOR SALE ALONG TAFT AVENUE PASAY CITY QUANTUM RESIDENCES,Quantum Residences,Quantum Residences,,26 sqm,"₱ 4,650,000","San Isidro, Pasay",,1 bathroom,23,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
CONDO FOR SALE ALONG BUENDIA AND TAFT AVENUE PASAY CITY QUANTUM RESIDENCES,Quantum Residences,Quantum Residences,,26 sqm,"₱ 4,650,000","San Isidro, Pasay",,1 bathroom,23,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
CONDO FOR SALE ALONG BUENDIA AND TAFT AVENUE PASAY CITY QUANTUM RESIDENCES,Quantum Residences,Quantum Residences,,26 sqm,"₱ 4,650,000","San Isidro, Pasay",,1 bathroom,23,,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
2br condo in pasay palm beach west rent to own ready for occupancy near macapagal roxas blvd pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,400,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,21,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
Ready for Occupancy Condo in Pasay near De La Salle University Manila,Quantum Residences,Quantum Residences,,26 sqm,"₱ 4,650,000","San Isidro, Pasay",,1 bathroom,23,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
READY FOR OCCUPANCY AND PRESELLING CONDO ALONG TAFT AVENUE PASAY CITY QUANTUM RESIDENCES,Quantum Residences,Quantum Residences,,26 sqm,"₱ 4,650,000","San Isidro, Pasay",,1 bathroom,23,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
condominium in pasay palm beach west rfo rent to own near macapagal roxas blvd mall of asia pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,300,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,21,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
"Quantum Residences Ready For Occupancy near LRT Gil Puyat Station,, Arellano University and De La Salle University",Quantum Residences,Quantum Residences,,26 sqm,"₱ 4,650,000","San Isidro, Pasay",,1 bathroom,23,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
"Quantum Residences Ready For Occupancy near LRT Gil Puyat Station,, Arellano University and De La Salle University",Quantum Residences,Quantum Residences,,26 sqm,"₱ 4,650,000","San Isidro, Pasay",,1 bathroom,23,,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
rfo condominium in pasay palm beach west rent to own 2bedroom near macapagal roxas blvd pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 7,390,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,12,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
rfo condominium in pasay palm beach west 2bedroom rent to own near macapagal roxas blvd pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,400,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,12,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
"Quantum Residences Ready For Occupancy near LRT Gil Puyat Station,, Arellano University and De La Salle University",Quantum Residences,Quantum Residences,,26 sqm,"₱ 4,650,000","San Isidro, Pasay",,1 bathroom,23,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
for sale condominium in pasay palm beach west rent to own ready for occupancy 2bedroom condo,Palm Beach West,Palm Beach West,,38 sqm,"₱ 8,400,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,21,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
AIRBNB CONDO ALONG TAFT LRT QUANTUM RESIDENCES,,,,28 sqm,"₱ 4,300,000","Pasay, Metro Manila",,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,Roland Nacion
AIRBNB CONDO ALONG TAFT LRT QUANTUM RESIDENCES,,,,28 sqm,"₱ 3,800,000","Pasay, Metro Manila",,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,Roland Nacion
2bedroom condominium in pasay palm beach west near macapagal roxas blvd mall of asia pasay,Palm Beach West,Palm Beach West,,38 sqm,"₱ 5,650,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,21,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Kristine Joy Pascua
CONDO FOR SALE ALONG TAFT BUENDIA AIRBNB QUANTUM RESIDENCES,,,,28 sqm,"₱ 3,800,000","Pasay, Metro Manila",,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,Roland Nacion
AIRBNB CONDO IN TAFT QUANTUM RESIDENCES,,,,28 sqm,"₱ 4,300,000","Pasay, Metro Manila",1 bedroom,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,Roland Nacion
quantum residences studio near libertad cartimar la salle arellano pasay for sale,Quantum Residences,Quantum Residences,,21 sqm,"₱ 3,890,790","San Isidro, Pasay",,1 bathroom,21,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Kristine Joy Pascua
