hospital,beds,category,street,city,sec,full_address
"SAN LORENZO HOSPITAL HEALTH
MANAGEMENT CO., INC.",15,INF/DISP,"24 SUSANO RD., BRGY. 170,  ZONE 15, DEPARO,",CALOOCAN CITY,P,"SAN LORENZO HOSPITAL HEALTH
MANAGEMENT CO., INC., 24 SUSANO RD., BRGY. 170,  ZONE 15, DEPARO,, CALOOCAN CITY"
SAN LORENZO RUIZ GENERAL HOSPITAL,10,LEVEL 1,"25 O. REYES ST., SANTULAN",MALABON,G,"SAN LORENZO RUIZ GENERAL HOSPITAL, 25 O. REYES ST., SANTULAN, MALABON"
SEAMEN'S HOSPITAL,100,LEVEL 3,"CABILDO ST., COR. SAN JOSE ST.,","INTRAMUROS, MANILA",P,"SEAMEN'S HOSPITAL, CABILDO ST., COR. SAN JOSE ST.,, INTRAMUROS, MANILA"
STA. ANA HOSPITAL,300,LEVEL 3,"2629 NEW PANADEROS ST.,","STA. ANA, MANILA",G,"STA. ANA HOSPITAL, 2629 NEW PANADEROS ST.,, STA. ANA, MANILA"
TONDO MEDICAL CENTER,300,LEVEL 3,"HONORIO LOPEZ BOULEVARD, BALUT,","TONDO, MANILA",G,"TONDO MEDICAL CENTER, HONORIO LOPEZ BOULEVARD, BALUT,, TONDO, MANILA"
"TRINITY WOMAN & CHILD CENTER ""THE
BIRTHPLACE""",18,LEVEL 1,"2732 NEW PANADEROS ST.,","STA. ANA, MANILA",P,"TRINITY WOMAN & CHILD CENTER ""THE
BIRTHPLACE"", 2732 NEW PANADEROS ST.,, STA. ANA, MANILA"
UNIVERSITY OF SANTO TOMAS HOSPITAL,700,LEVEL 3,"ESPAÑA BOULEVARD,","SAMPALOC, MANILA",P,"UNIVERSITY OF SANTO TOMAS HOSPITAL, ESPAÑA BOULEVARD,, SAMPALOC, MANILA"
UP-PHILIPPINE GENERAL HOSPITAL,1334,LEVEL 3,"TAFT AVENUE,","ERMITA, MANILA",G,"UP-PHILIPPINE GENERAL HOSPITAL, TAFT AVENUE,, ERMITA, MANILA"
"VALENZUELA CITICARE MEDICAL CENTER - TIMOG HILAGA PROVIDENCE GROUP, INC.",40,LEVEL 2,"KM. 14 MC ARTHUR HIGHWAY, MALINTA,",VALENZUELA CITY,P,"VALENZUELA CITICARE MEDICAL CENTER - TIMOG HILAGA PROVIDENCE GROUP, INC., KM. 14 MC ARTHUR HIGHWAY, MALINTA,, VALENZUELA CITY"
VALENZUELA CITY EMERGENCY HOSPITAL,20,INF/DISP,"G. LAZARO ST., DALANDANAN,",VALENZUELA CITY,G,"VALENZUELA CITY EMERGENCY HOSPITAL, G. LAZARO ST., DALANDANAN,, VALENZUELA CITY"
VALENZUELA MEDICAL CENTER,150,LEVEL 3,"PADRIGAL ST., KARUHATAN,",VALENZUELA CITY,G,"VALENZUELA MEDICAL CENTER, PADRIGAL ST., KARUHATAN,, VALENZUELA CITY"
VIAN FAMILY HOSPITAL,12,INF/DISP,"3008 GEN. T. DE LEON,",VALENZUELA CITY,P,"VIAN FAMILY HOSPITAL, 3008 GEN. T. DE LEON,, VALENZUELA CITY"
A. ZARATE GENERAL HOSPITAL,17,LEVEL 1,"ATLAS COMPOUND, NAGA RD.,
PULANG LUPA UNO,",LAS PIÑAS CITY,P,"A. ZARATE GENERAL HOSPITAL, ATLAS COMPOUND, NAGA RD.,
PULANG LUPA UNO,, LAS PIÑAS CITY"
ADVENTIST MEDICAL CENTER MANILA,150,LEVEL 3,"#1975 DONADA ST.,",PASAY CITY,P,"ADVENTIST MEDICAL CENTER MANILA, #1975 DONADA ST.,, PASAY CITY"
AIR FORCE GENERAL HOSPITAL,100,LEVEL 2,"COLONEL JESUS VILLAMOR AIR BASE,",PASAY CITY,G,"AIR FORCE GENERAL HOSPITAL, COLONEL JESUS VILLAMOR AIR BASE,, PASAY CITY"
ALABANG MEDICAL CENTER,18,LEVEL 1,"ALABANG ZAPOTE ROAD,",MUNTINLUPA CITY,P,"ALABANG MEDICAL CENTER, ALABANG ZAPOTE ROAD,, MUNTINLUPA CITY"
ALABANG MEDICAL CLINIC,30,LEVEL 2,"90 M. L. QUEZON ST., ALABANG,",MUNTINLUPA CITY,P,"ALABANG MEDICAL CLINIC, 90 M. L. QUEZON ST., ALABANG,, MUNTINLUPA CITY"
"ALABANG MEDICAL CLINIC - LAS PIÑAS
BRANCH",18,LEVEL 1,"ALABANG-ZAPOTE RD. COR. PELAYO VILLAGE, TALON,",LAS PIÑAS CITY,P,"ALABANG MEDICAL CLINIC - LAS PIÑAS
BRANCH, ALABANG-ZAPOTE RD. COR. PELAYO VILLAGE, TALON,, LAS PIÑAS CITY"
"ALABANG MEDICAL CLINIC - MUNTINLUPA
BRANCH",25,LEVEL 1,"1 NATIONAL ROAD, PUTATAN,",MUNTINLUPA CITY,P,"ALABANG MEDICAL CLINIC - MUNTINLUPA
BRANCH, 1 NATIONAL ROAD, PUTATAN,, MUNTINLUPA CITY"
ALFONSO SPECIALIST HOSPITAL,22,LEVEL 1,"185 DR. SIXTO ANTONIO AVE.,
ROSARIO,",PASIG CITY,P,"ALFONSO SPECIALIST HOSPITAL, 185 DR. SIXTO ANTONIO AVE.,
ROSARIO,, PASIG CITY"
"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER-PATEROS, INC.",58,LEVEL 2,"884 P. HERRERA ST., AGUHO,",PATEROS,P,"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER-PATEROS, INC., 884 P. HERRERA ST., AGUHO,, PATEROS"
ARMY GENERAL HOSPITAL,200,LEVEL 1,"FORT ANDRES BONIFACIO,",TAGUIG,G,"ARMY GENERAL HOSPITAL, FORT ANDRES BONIFACIO,, TAGUIG"
"ASIAN HOSPITAL, INC.",296,LEVEL 3,"2205 CIVIC DRIVE, FILINVEST
CORPORATE CITY, ALABANG",MUNTINLUPA CITY,P,"ASIAN HOSPITAL, INC., 2205 CIVIC DRIVE, FILINVEST
CORPORATE CITY, ALABANG, MUNTINLUPA CITY"
"BICUTAN MEDICAL CENTER, INC.",100,LEVEL 2,"191 M.L. QUEZON ST., NEW LOWER
BICUTAN",TAGUIG,P,"BICUTAN MEDICAL CENTER, INC., 191 M.L. QUEZON ST., NEW LOWER
BICUTAN, TAGUIG"
CALLEJO MEDICAL CLINIC,10,INF/DISP,"545-A TALON GARDEN, TALON UNO,",LAS PIÑAS CITY,P,"CALLEJO MEDICAL CLINIC, 545-A TALON GARDEN, TALON UNO,, LAS PIÑAS CITY"
"CHRIST THE KING MEDICAL CENTER
UNIHEALTH LAS PIÑAS, INC.",30,LEVEL 2,"130 REAL ST., PAMPLONA UNO,",LAS PIÑAS CITY,P,"CHRIST THE KING MEDICAL CENTER
UNIHEALTH LAS PIÑAS, INC., 130 REAL ST., PAMPLONA UNO,, LAS PIÑAS CITY"
"CRUZ-RABE MATERNITY & GENERAL
HOSPITAL",25,LEVEL 1,"37 GEN. LUNA ST., BRGY. TUKTUKAN,",TAGUIG,P,"CRUZ-RABE MATERNITY & GENERAL
HOSPITAL, 37 GEN. LUNA ST., BRGY. TUKTUKAN,, TAGUIG"
E. ZARATE HOSPITAL,15,LEVEL 1,"16 J. AGUILAR AVENUE, TALON I,",LAS PIÑAS CITY,P,"E. ZARATE HOSPITAL, 16 J. AGUILAR AVENUE, TALON I,, LAS PIÑAS CITY"
"FOUNDATION OF OUR LADY OF PEACE MISSION, INC. (OUR LADY OF PEACE
HOSPITAL)",90,LEVEL 1,"COASTAL ROAD, BRGY. SAN DIONISIO,",PARAÑAQUE CITY,P,"FOUNDATION OF OUR LADY OF PEACE MISSION, INC. (OUR LADY OF PEACE
HOSPITAL), COASTAL ROAD, BRGY. SAN DIONISIO,, PARAÑAQUE CITY"
HEALTHWAY CANCER CARE HOSPITAL,34,LEVEL 3,"LOT 26, BAGSAKAN ROAD, FTI
COMPLEX, WESTERN BICUTAN,",TAGUIG,P,"HEALTHWAY CANCER CARE HOSPITAL, LOT 26, BAGSAKAN ROAD, FTI
COMPLEX, WESTERN BICUTAN,, TAGUIG"
HOLYLIFE HOSPITAL,28,LEVEL 1,"19 PRESIDENT QUEZON ST.,
LIFEHOMES SUBD., ROSARIO,",PASIG CITY,P,"HOLYLIFE HOSPITAL, 19 PRESIDENT QUEZON ST.,
LIFEHOMES SUBD., ROSARIO,, PASIG CITY"
"LAS PIÑAS CITY MEDICAL CENTER, INC.",66,LEVEL 2,"1314 MARCOS ALVAREZ AVE., TALON
V,",LAS PIÑAS CITY,P,"LAS PIÑAS CITY MEDICAL CENTER, INC., 1314 MARCOS ALVAREZ AVE., TALON
V,, LAS PIÑAS CITY"
"LAS PIÑAS DOCTORS HOSPITAL, INC.",130,LEVEL 3,"8009 JI AGUILAR AVE., PULANGLUPA 2,",LAS PIÑAS CITY,P,"LAS PIÑAS DOCTORS HOSPITAL, INC., 8009 JI AGUILAR AVE., PULANGLUPA 2,, LAS PIÑAS CITY"
"LAS PIÑAS GENERAL HOSPITAL & SATELLITE
TRAUMA CENTER",200,LEVEL 3,"BERNABE COMPOUND, PULANG LUPA,",LAS PIÑAS CITY,G,"LAS PIÑAS GENERAL HOSPITAL & SATELLITE
TRAUMA CENTER, BERNABE COMPOUND, PULANG LUPA,, LAS PIÑAS CITY"
MAKATI LIFE MEDICAL CENTER,70,LEVEL 2,"MALUGAY ST., BRGY. BEL-AIR,",MAKATI CITY,P,"MAKATI LIFE MEDICAL CENTER, MALUGAY ST., BRGY. BEL-AIR,, MAKATI CITY"
MAKATI MEDICAL CENTER,600,LEVEL 3,"2 AMORSOLO ST., LEGASPI VILLAGE,",MAKATI CITY,P,"MAKATI MEDICAL CENTER, 2 AMORSOLO ST., LEGASPI VILLAGE,, MAKATI CITY"
MANILA NAVAL HOSPITAL,65,LEVEL 1,"NAVAL STATION, JOSE FRANCISCO,
FORT BONIFACIO,",TAGUIG,G,"MANILA NAVAL HOSPITAL, NAVAL STATION, JOSE FRANCISCO,
FORT BONIFACIO,, TAGUIG"
"MEDICAL CENTER MUNTINLUPA, INC.",100,LEVEL 2,"38 NATIONAL ROAD, PUTATAN,",MUNTINLUPA CITY,P,"MEDICAL CENTER MUNTINLUPA, INC., 38 NATIONAL ROAD, PUTATAN,, MUNTINLUPA CITY"
"MEDICAL CENTER OF TAGUIG CITY, INC.",80,LEVEL 2,"LOT 1B LEVI B. MARIANO AVENUE,
BRGY. USUSAN,",TAGUIG,P,"MEDICAL CENTER OF TAGUIG CITY, INC., LOT 1B LEVI B. MARIANO AVENUE,
BRGY. USUSAN,, TAGUIG"
"MEDICAL CENTER PARAÑAQUE, INC.",56,LEVEL 2,"DR. A. SANTOS AVE., SUCAT,",PARAÑAQUE CITY,P,"MEDICAL CENTER PARAÑAQUE, INC., DR. A. SANTOS AVE., SUCAT,, PARAÑAQUE CITY"
MISSION HOSPITAL,30,LEVEL 1,"KM. 17 ORTIGAS AVENUE EXTENSION,
ROSARIO,",PASIG CITY,P,"MISSION HOSPITAL, KM. 17 ORTIGAS AVENUE EXTENSION,
ROSARIO,, PASIG CITY"
"OLIVAREZ GENERAL HOSPITAL, INC.",50,LEVEL 1,"DR. A. SANTOS AVENUE, SUCAT ROAD,",PARAÑAQUE CITY,P,"OLIVAREZ GENERAL HOSPITAL, INC., DR. A. SANTOS AVENUE, SUCAT ROAD,, PARAÑAQUE CITY"
OSPITAL NG MAKATI,300,LEVEL 3,"SAMPAGUITA ST. COR. GUMAMELA
ST., BRGY. PEMBO,",TAGUIG,G,"OSPITAL NG MAKATI, SAMPAGUITA ST. COR. GUMAMELA
ST., BRGY. PEMBO,, TAGUIG"
OSPITAL NG MUNTINLUPA,206,LEVEL 3,"CIVIC DRIVE, FILINVEST CORPORATE
CITY, ALABANG,",MUNTINLUPA CITY,G,"OSPITAL NG MUNTINLUPA, CIVIC DRIVE, FILINVEST CORPORATE
CITY, ALABANG,, MUNTINLUPA CITY"
OSPITAL NG PARAÑAQUE,83,LEVEL 1,"440 QUIRINO AVE., LA HUERTA,",PARAÑAQUE CITY,G,"OSPITAL NG PARAÑAQUE, 440 QUIRINO AVE., LA HUERTA,, PARAÑAQUE CITY"
OSPITAL NG PARAÑAQUE DISTRICT II,70,LEVEL 1,"NO. 187 TAIWAN EXTENSION CORNER DOÑA SOLEDAD AVE., DON BOSCO,",PARAÑAQUE CITY,G,"OSPITAL NG PARAÑAQUE DISTRICT II, NO. 187 TAIWAN EXTENSION CORNER DOÑA SOLEDAD AVE., DON BOSCO,, PARAÑAQUE CITY"
"PAMPLONA HOSPITAL AND MEDICAL CENTER
INC.",48,LEVEL 2,"46 ZAPOTE-ALABANG ROAD,
PAMPLONA",LAS PIÑAS CITY,P,"PAMPLONA HOSPITAL AND MEDICAL CENTER
INC., 46 ZAPOTE-ALABANG ROAD,
PAMPLONA, LAS PIÑAS CITY"
PASAY CITY GENERAL HOSPITAL,150,LEVEL 3,"P. BURGOS ST.,",PASAY CITY,G,"PASAY CITY GENERAL HOSPITAL, P. BURGOS ST.,, PASAY CITY"
"PASIG CITY CHILDREN'S HOSPITAL - CHILD'S
HOPE",64,LEVEL 2,"INDUSTRIA ST., COR. ALCALDE JOSE ST.,
KAPASIGAN,",PASIG CITY,G,"PASIG CITY CHILDREN'S HOSPITAL - CHILD'S
HOPE, INDUSTRIA ST., COR. ALCALDE JOSE ST.,
KAPASIGAN,, PASIG CITY"
PASIG CITY GENERAL HOSPITAL,200,LEVEL 3,"M. EUSEBIO AVENUE, MAYBUNGA,",PASIG CITY,G,"PASIG CITY GENERAL HOSPITAL, M. EUSEBIO AVENUE, MAYBUNGA,, PASIG CITY"
PASIG DOCTORS MEDICAL CENTER INC.,66,LEVEL 2,"254 AMANG RODRIGUEZ AVENUE,
MANGGAHAN,",PASIG CITY,P,"PASIG DOCTORS MEDICAL CENTER INC., 254 AMANG RODRIGUEZ AVENUE,
MANGGAHAN,, PASIG CITY"
"POPE JOHN PAUL II HOSPITAL AND MEDICAL
CENTER, INC.",100,LEVEL 2,"545 ALABANG-ZAPOTE ROAD, TALON III",LAS PIÑAS CITY,P,"POPE JOHN PAUL II HOSPITAL AND MEDICAL
CENTER, INC., 545 ALABANG-ZAPOTE ROAD, TALON III, LAS PIÑAS CITY"
"RECUENCO GENERAL HOSPITAL, INC.",12,LEVEL 1,"68 SAMPALOC EXTENSION, NORTH
SIGNAL VILLAGE,",TAGUIG,P,"RECUENCO GENERAL HOSPITAL, INC., 68 SAMPALOC EXTENSION, NORTH
SIGNAL VILLAGE,, TAGUIG"
"RESEARCH INSTITUTE FOR TROPICAL
MEDICINE",50,LEVEL 3,"9002 RESEARCH DRIVE, FILINVEST CORPORATE CITY, ALABANG,",MUNTINLUPA CITY,G,"RESEARCH INSTITUTE FOR TROPICAL
MEDICINE, 9002 RESEARCH DRIVE, FILINVEST CORPORATE CITY, ALABANG,, MUNTINLUPA CITY"
RIZAL MEDICAL CENTER,300,LEVEL 3,"PASIG BOULEVARD, BAGONG ILOG,",PASIG CITY,G,"RIZAL MEDICAL CENTER, PASIG BOULEVARD, BAGONG ILOG,, PASIG CITY"
"SALVE REGINA GENERAL HOSPITAL, INC.",50,LEVEL 1,"LOT A2A, MARCOS HIGHWAY, DELA
PAZ,",PASIG CITY,P,"SALVE REGINA GENERAL HOSPITAL, INC., LOT A2A, MARCOS HIGHWAY, DELA
PAZ,, PASIG CITY"
"SAN JUAN DE DIOS EDUCATIONAL
FOUNDATION, INC.",230,LEVEL 3,"2772 ROXAS BLVD.,",PASAY CITY,P,"SAN JUAN DE DIOS EDUCATIONAL
FOUNDATION, INC., 2772 ROXAS BLVD.,, PASAY CITY"
SOUTH SUPERHIGHWAY MEDICAL CENTER,50,LEVEL 2,"KM.17, WEST SERVICE ROAD, BRGY. MARCELO,",PARAÑAQUE CITY,P,"SOUTH SUPERHIGHWAY MEDICAL CENTER, KM.17, WEST SERVICE ROAD, BRGY. MARCELO,, PARAÑAQUE CITY"
ST. CAMILLUS MEDICAL CENTER,24,LEVEL 2,"116 E. AMANG RODRIGUEZ AVENUE,
SANTOLAN,",PASIG CITY,P,"ST. CAMILLUS MEDICAL CENTER, 116 E. AMANG RODRIGUEZ AVENUE,
SANTOLAN,, PASIG CITY"
"ST. CHRISTIANA HOSPITAL, INC.",10,LEVEL 1,"3338 KAGINHAWAAN RD., KARANGALAN VILLAGE, MANGGAHAN,",PASIG CITY,P,"ST. CHRISTIANA HOSPITAL, INC., 3338 KAGINHAWAAN RD., KARANGALAN VILLAGE, MANGGAHAN,, PASIG CITY"
"ST. CLARE'S MEDICAL CENTER, INC.",27,LEVEL 2,"1838 DIAN ST.,  PALANAN,",MAKATI CITY,P,"ST. CLARE'S MEDICAL CENTER, INC., 1838 DIAN ST.,  PALANAN,, MAKATI CITY"
ST. LUKE'S MEDICAL CENTER - GLOBAL CITY,528,LEVEL 3,"RIZAL DRIVE CORNER 32ND STREET AND 5TH AVENUE, BONIFACIO GLOBAL
CITY,",TAGUIG,P,"ST. LUKE'S MEDICAL CENTER - GLOBAL CITY, RIZAL DRIVE CORNER 32ND STREET AND 5TH AVENUE, BONIFACIO GLOBAL
CITY,, TAGUIG"
TAGIG DOCTORS HOSPITAL,8,INF/DISP,"184 MANUEL L. QUEZON ST.,
BAGUMBAYAN,",TAGUIG,P,"TAGIG DOCTORS HOSPITAL, 184 MANUEL L. QUEZON ST.,
BAGUMBAYAN,, TAGUIG"
TAGUIG-PATEROS DISTRICT HOSPITAL,110,LEVEL 1,"EAST SERVICE ROAD, WESTERN
BICUTAN,",TAGUIG,G,"TAGUIG-PATEROS DISTRICT HOSPITAL, EAST SERVICE ROAD, WESTERN
BICUTAN,, TAGUIG"
THE MEDICAL CITY,522,LEVEL 3,"THE MEDICAL CITY COMPOUND, DON EUGENIO LOPEZ SR. MEDICAL
COMPLEX ORTIGAS AVENUE,",PASIG CITY,P,"THE MEDICAL CITY, THE MEDICAL CITY COMPOUND, DON EUGENIO LOPEZ SR. MEDICAL
COMPLEX ORTIGAS AVENUE,, PASIG CITY"
THE PREMIER MEDICAL CENTER,40,LEVEL 2,"LOT 2 AMVEL BUSINESS PARK, DR. A. SANTOS AVE., BRGY. SAN DIONISIO,
SUCAT ROAD,",PARAÑAQUE CITY,P,"THE PREMIER MEDICAL CENTER, LOT 2 AMVEL BUSINESS PARK, DR. A. SANTOS AVE., BRGY. SAN DIONISIO,
SUCAT ROAD,, PARAÑAQUE CITY"
"TRICITY MEDICAL CENTER, INC.",100,LEVEL 2,"269 C. RAYMUNDO AVENUE,
MAYBUNGA,",PASIG CITY,P,"TRICITY MEDICAL CENTER, INC., 269 C. RAYMUNDO AVENUE,
MAYBUNGA,, PASIG CITY"
"UHBI-PARAÑAQUE DOCTORS HOSPITAL, INC.",94,LEVEL 2,"175 DOÑA SOLEDAD AVE.,
BETTERLIVING SUBD.,",PARAÑAQUE CITY,P,"UHBI-PARAÑAQUE DOCTORS HOSPITAL, INC., 175 DOÑA SOLEDAD AVE.,
BETTERLIVING SUBD.,, PARAÑAQUE CITY"
"UNIHEALTH PARAÑAQUE HOSPITAL AND
MEDICAL CENTER, INC.",100,LEVEL 2,"DR. A SANTOS AVENUE, BRGY. SAN
ISIDRO, SUCAT ROAD,",PARAÑAQUE CITY,P,"UNIHEALTH PARAÑAQUE HOSPITAL AND
MEDICAL CENTER, INC., DR. A SANTOS AVENUE, BRGY. SAN
ISIDRO, SUCAT ROAD,, PARAÑAQUE CITY"
"UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER, INC.",285,LEVEL 3,"ALABANG ZAPOTE ROAD, PAMPLONA TRES",LAS PIÑAS CITY,P,"UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER, INC., ALABANG ZAPOTE ROAD, PAMPLONA TRES, LAS PIÑAS CITY"
