REGION, INSTITUTION NAME, INSTITUTION TYPE, PROVINCE, MUNICIPALITY/CITY, WEBSITE ADDRESS, FAX/TELEPHONE NO.
13 - Nat. Capital Region,AMA Computer College-Sta. Mesa,Private,Metro Manila,City of Manila,,
13 - Nat. Capital Region,Divine Mercy College Foundation,Private,Metro Manila,City of Caloocan,,(02) 361-1922 / 366-6922 ;
13 - Nat. Capital Region,Interface Computer College-Caloocan,Private,Metro Manila,City of Caloocan,http://www.interface.edu.ph,(02) 8366-7271 ;
13 - Nat. Capital Region,Our Lady of Fatima University-Quezon City,Private,Metro Manila,Quezon City,http://www.fatima.edu.ph,(02) 8935-2947 (02) 84191288 local 12 ; (02) 935-2947 local 23
13 - Nat. Capital Region,Our Lady of Lourdes Technological College,Private,Metro Manila,Quezon City,,7-508-5176 ;
13 - Nat. Capital Region,St. Clare College of Caloocan,Private,Metro Manila,City of Caloocan,stclarecollege.com,(02)2324483 ;
13 - Nat. Capital Region,STI College-Las Piñas,Private,Metro Manila,City of Las Piñas,http://www.sti.edu,02-8718327 ; 02-8719437
13 - Nat. Capital Region,Dr. Filemon C. Aguilar Memorial College of Las Piñas,LUC,Metro Manila,City of Las Piñas,http://www.dfcamclp.edu.ph,(02) 8403-19-85 ; (02) 8403-19-86
13 - Nat. Capital Region,Asia Graduate School of Theology,Private,Metro Manila,Quezon City,http://www.agstphil.org,(02) 86681906 ;
13 - Nat. Capital Region,AMA Computer College-Las Piñas,Private,Metro Manila,City of Las Piñas,http://www.amaes.edu.ph,
13 - Nat. Capital Region,AMA Computer College-Pasig City,Private,Metro Manila,City of Pasig,http://www.amaes.edu.ph,
13 - Nat. Capital Region,Pamantasan ng Lungsod ng Pasig,LUC,Metro Manila,City of Pasig,http://www.pasigcity.gov.ph,628-1014/628-1013 ; 642-4100
13 - Nat. Capital Region,Wesleyan College of Manila,Private,Metro Manila,Pasay City,http://www.wesleyanmanila.edu.ph,(632)5310-41-31 to 35 ; (632)5310-41-31
13 - Nat. Capital Region,Loral Douglas Woosley Bethany Colleges,Private,Metro Manila,City of Makati,,(02) 8334576 loc 114; (02) 8334577 loc 114 ;
13 - Nat. Capital Region,STI College-Marikina,Private,Metro Manila,City of Marikina,http://www.sti.edu,8-942-33-07 ;
13 - Nat. Capital Region,IETI College of Science and Technology-Marikina,Private,Metro Manila,City of Marikina,http://www.ieti.edu.ph,287000000 ; 287000000
13 - Nat. Capital Region,Manila Business College Foundation,Private,Metro Manila,City of Manila,http://www.mbc.edu.ph,8-741-34-89 ; 5-313-8253
13 - Nat. Capital Region,Access Computer and Technical Colleges-Manila,Private,Metro Manila,City of Manila,access.edu.ph,
13 - Nat. Capital Region,Criminal Justice College,Private,Metro Manila,City of Muntinlupa,,(632) 8862-5392 ; (632) 8862-5392
13 - Nat. Capital Region,Entrepreneurs School of Asia,Private,Metro Manila,Quezon City,http://www.thames.edu.ph,63300000000 ;
13 - Nat. Capital Region,St. Mary's College,Private,Metro Manila,Quezon City,http://www.smciqc.edu.ph,(02) 83736847 - 49 ;
13 - Nat. Capital Region,ABE International College of Business and Accountancy-Cubao,Private,Metro Manila,Quezon City,abe.edu.ph,
13 - Nat. Capital Region,ABE International College of Business and Economics-Las Piñas,Private,Metro Manila,City of Las Piñas,http://www.amaes.edu.ph,
13 - Nat. Capital Region,Development Academy of the Philippines,OGS,Metro Manila,City of Pasig,http://www.dap.edu.ph,(632) 631-0921 to 30 local 175 and 177 ; (632) 631-2167
13 - Nat. Capital Region,National Christian Life College,Private,Metro Manila,City of Marikina,http://www.freewebs.com/nclcmarikina,8661-3794 ;
13 - Nat. Capital Region,Global City Innovative College,Private,Metro Manila,City of Makati,http://www.global.edu.ph,(02) 8882-4242 ; (02) 8882-8858
13 - Nat. Capital Region,Southville International School and Colleges,Private,Metro Manila,City of Las Piñas,http://www.southville.edu.ph,(02) 8825-2358 / (02) 8825-6374 / (02) 8820-8703 / (02) 8820-0935 / (02) 8825-6284 ; (02) 829-1675 / (02) 820-8259 / (02) 820-5161 / (02) 820-8715 / (02) 820-8714 / (02) 825-0766
13 - Nat. Capital Region,Information and Communications Technology Academy,Private,Metro Manila,City of Makati,http://www.iacademy.edu.ph,(632)8889-5555 ; (632)8891-3727
13 - Nat. Capital Region,Our Lady of Guadalupe Colleges,Private,Metro Manila,City of Mandaluyong,http://www.olgc.edu.ph,(63 2) 535-5885 to 86 ; (63 2) 535-5885 to 86 loc 108
13 - Nat. Capital Region,Access Computer and Technical Colleges-Cubao,Private,Metro Manila,Quezon City,http://www.access.edu.ph,
13 - Nat. Capital Region,Immaculate Heart of Mary College-Parañaque,Private,Metro Manila,City of Parañaque,http://www.ihmc-p.edu.ph,8823-4109 ; 823-5628
13 - Nat. Capital Region,Polytechnic University of the Philippines-Quezon City Campus,SUC,Metro Manila,Quezon City,http://www.pup.edu.ph,(02) 287-8204 ;
13 - Nat. Capital Region,Lyceum of Alabang,Private,Metro Manila,City of Muntinlupa,http://www.lyceumalabang.edu.ph,(02)856-9323/856-9324 ; (02)856-9323
13 - Nat. Capital Region,Rogationist Seminary College of Philosophy,Private,Metro Manila,City of Parañaque,rcj.ph,(02) 841-6500 ; (02) 828-3422
13 - Nat. Capital Region,La Consolacion College-Pasig,Private,Metro Manila,City of Pasig,lccpasig.edu.ph,
13 - Nat. Capital Region,Gardner College Diliman,Private,Metro Manila,Quezon City,http://www.gardner.edu.ph,028 9262948 ; 028 9262948
13 - Nat. Capital Region,ABE International Business College-Caloocan City,Private,Metro Manila,City of Caloocan,abe.edu.ph,
13 - Nat. Capital Region,WCC Aeronautical & Technological College-North Manila,Private,Metro Manila,City of Caloocan,http://www.worldciti.edu.ph,(8) 363-8079 ; (8) 363-8079
13 - Nat. Capital Region,Informatics College-Northgate,Private,Metro Manila,City of Muntinlupa,http://www.informatics .edu.ph,(02) 772-2474 ; (02) 772-2476
13 - Nat. Capital Region,Pamantasan ng Lungsod ng Valenzuela,LUC,Metro Manila,City of Valenzuela,http://www.plv.edu.ph,632 8352 7000 ;
13 - Nat. Capital Region,Marie-Bernarde College,Private,Metro Manila,Quezon City,http://www.mariebernardecollege.edu.ph,9170000000 ;
13 - Nat. Capital Region,Mary the Queen College of Quezon City,Private,Metro Manila,Quezon City,,02-8930-4133 ;
13 - Nat. Capital Region,St. Bernadette of Lourdes College,Private,Metro Manila,Quezon City,,700-429-49 ;
13 - Nat. Capital Region,Flight School International,Private,Metro Manila,City of Parañaque,http://www.flightschoolinternational.com / https://flightschoolinternational.godaddysites.com/,63-9171866909 / 02-79057672 ;
13 - Nat. Capital Region,Capitol Medical Center Colleges,Private,Metro Manila,Quezon City,,(632) 86710614 ;
13 - Nat. Capital Region,New England College,Private,Metro Manila,Quezon City,http://www.nec.edu.ph,(02) 7239 4051 ;
13 - Nat. Capital Region,Universal Colleges of Parañaque,Private,Metro Manila,City of Parañaque,http://www.ucp.edu.ph,(02) 8820-2222 ;
13 - Nat. Capital Region,Quezon City University,LUC,Metro Manila,Quezon City,http://www.qcu.edu.ph,(632)8806-3324 ;
13 - Nat. Capital Region,Pamantasan ng Lungsod ng Marikina,LUC,Metro Manila,City of Marikina,http://www.plmar.edu.ph,(02) 7369-72-77/ (02) 7358-81-73 ; (02) 7369-72-77
13 - Nat. Capital Region,Valenzuela City Polytechnic College,LUC,Metro Manila,City of Valenzuela,valpoly.edu.ph,(02) 8-292-0775 ; (02) 8-293-0480
13 - Nat. Capital Region,South Mansfield College,Private,Metro Manila,City of Muntinlupa,smc@smc.edu.ph,(02) - 8862-3036; (02) - 8835-7069 ;
13 - Nat. Capital Region,St. John of Beverly School,Private,Metro Manila,Quezon City,,
13 - Nat. Capital Region,Jesus Reigns Christian College Foundation,Private,Metro Manila,City of Manila,,(632) 83736900 ; (632) 84003819
13 - Nat. Capital Region,Villagers Montessori College,Private,Metro Manila,Quezon City,http://www.vmc.edu.ph,(+632)89262431 ; (+632)89290857
13 - Nat. Capital Region,AMA School of Medicine,Private,Metro Manila,City of Makati,https://amaschoolofmedicine.amaes.edu.ph/,
13 - Nat. Capital Region,Enderun Colleges,Private,Metro Manila,City of Taguig,http://www.enderuncolleges.com,
13 - Nat. Capital Region,Pateros Technological College,LUC,Metro Manila,Pateros,http://paterostechnologicalcollege.edu.ph,8428-8370 loc 306 ;
13 - Nat. Capital Region,Messiah College Foundation,Private,Metro Manila,City of Pasig,http://www.messiahcollege.edu.ph,(028) 4205302 ;
13 - Nat. Capital Region,National Polytechnic College of Science and Technology,Private,Metro Manila,Quezon City,,(02) 8925-3176 ;
13 - Nat. Capital Region,Lady of Lourdes Hospital & Colleges of Caybiga,Private,Metro Manila,City of Caloocan,,(02) 71499132 ;
13 - Nat. Capital Region,College of St. Catherine,Private,Metro Manila,Quezon City,http://www.cscqc.edu.ph,23304883 ; 23303620
13 - Nat. Capital Region,Grace Christian College,Private,Metro Manila,Quezon City,http://www.gcc.edu.ph,02-83647435 ; 02-83641971
13 - Nat. Capital Region,Taguig City University,LUC,Metro Manila,City of Taguig,tcu.edu.ph,2-635-8300 ;
13 - Nat. Capital Region,Centro Escolar University-Makati,Private,Metro Manila,City of Makati,http://www.ceu.edu.ph,(02) 735-68-61 to 69 ; (02) 735-59-91
13 - Nat. Capital Region,Philippine Cultural College,Private,Metro Manila,Quezon City,http://www.philippineculturalcollege.edu.ph,(02)82415522 ;
13 - Nat. Capital Region,Diliman College,Private,Metro Manila,Quezon City,http://www.thedilimancollege.edu.ph,02-89310728; 02-89311089; 02-89310731 loc 824; 870 ; 02-89310728; 02-89310731 loc 825
13 - Nat. Capital Region,Colegio de Sta. Teresa de Avila Foundation,Private,Metro Manila,Quezon City,,8-275-3916 ;
13 - Nat. Capital Region,The One Nation Entrepreneur School,Private,Metro Manila,City of Makati,https://lifeacademy.edu.ph/college/,0917 169 8975 ;
13 - Nat. Capital Region,Bestlink College of the Philippines,Private,Metro Manila,Quezon City,bcp-inquiry-@bcp.edu.ph,8-442-8601 ;
13 - Nat. Capital Region,Global Reciprocal Colleges,Private,Metro Manila,City of Caloocan,grc.edu.ph,(02)361-63-30 ; (02)361-63-30
13 - Nat. Capital Region,Golden Link College Foundation,Private,Metro Manila,Quezon City,http://www.theosophy.ph/goldenlinkcollege.html,(+632) 8961-58-36 ;
13 - Nat. Capital Region,Pacific InterContinental College,Private,Metro Manila,City of Las Piñas,http://www.pic.edu.ph,02-8478-7710 ; 02-8478-7710
13 - Nat. Capital Region,Asian Institute of Computer Studies-Quezon City,Private,Metro Manila,Quezon City,http://www.aics.edu.ph,02 8952-0308 ; 02 3430-4651
13 - Nat. Capital Region,Far Eastern University-Makati,Private,Metro Manila,,,
13 - Nat. Capital Region,Infotech College of Arts and Sciences Philippines,Private,Metro Manila,City of Marikina,,(02)8641-7104 ;
13 - Nat. Capital Region,Treston International College,Private,Metro Manila,City of Taguig,http://www.treston.edu.ph,(632) 84597400 ;
13 - Nat. Capital Region,Access Computer and Technical Colleges-Lagro,Private,Metro Manila,Quezon City,http://www.access.edu.ph,0908-8130719 ;
13 - Nat. Capital Region,UBIX Institute of Technologies,Private,Metro Manila,City of Muntinlupa,https://ubixcollegesinc.edu.ph/,8501645 ; 8501517
13 - Nat. Capital Region,College of Divine Wisdom,Private,Metro Manila,City of Parañaque,"http://www.cdweduph.com Facebook-fan page""CDW Dito ako""",
13 - Nat. Capital Region,Meridian International College of Business and Arts,Private,Metro Manila,City of Taguig,http://www.mintcollege.com,(02) 8551-9650 ;
13 - Nat. Capital Region,La Consolacion College-Valenzuela,Private,Metro Manila,City of Valenzuela,,(02) 8294-6089 /(02) 8291-1655 ; (02) 8294-6089 / (02) 8291-1655
13 - Nat. Capital Region,South SEED LPDH College,Private,Metro Manila,City of Las Piñas,https://sslc.edu.ph/,(02) 825-6374/ 820-8702-03 Loc. 122/151 ; (02) 820-2537
13 - Nat. Capital Region,Bethel Bible College of the Assemblies of God,Private,Metro Manila,City of Valenzuela,,02-82516756 ;
13 - Nat. Capital Region,Christ the King College of Science and Technology,Private,Metro Manila,City of Muntinlupa,ckcst.edu.ph,8875-7124 ;
13 - Nat. Capital Region,Colegio de San Gabriel Archangel of Caloocan,Private,Metro Manila,City of Caloocan,http://www.esgacosga.com,(02) 785 6950 ;
13 - Nat. Capital Region,St. Vincent de Ferrer College of Camarin,Private,Metro Manila,City of Caloocan,svfc.com.ph,8-524-0350 ;
13 - Nat. Capital Region,Datamex College of Saint Adeline-Fairview,Private,Metro Manila,Quezon City,stadeline.edu.ph,8921-8350 ;
13 - Nat. Capital Region,Asian Institute of Computer Studies-Bicutan,Private,Metro Manila,City of Parañaque,http://www.aics.edu.ph,(02) 86551430 ;
13 - Nat. Capital Region,Access Computer and Technical Colleges-Camarin,Private,Metro Manila,City of Caloocan,http://www.accesscomputercollege.com,2 0908-8130662 ;
13 - Nat. Capital Region,Datamex College of Saint Adeline-Valenzuela,Private,Metro Manila,City of Valenzuela,stadeline.edu.ph,8292-75-36 ;
13 - Nat. Capital Region,School of Fashion and the Arts,Private,Metro Manila,City of Makati,https://sofa.edu.ph/,(02)-478 46 11 ; (02) 478 4622 loc 113
13 - Nat. Capital Region,ICI Global University,Private,Metro Manila,City of Pasig,https://iciphilippines.org,(02) 7914-9800 ; (02) 7914-9810
13 - Nat. Capital Region,Southville International School,Private,Metro Manila,City of Las Piñas,http://www.sisfu.edu.ph,8209181 ; 8255147
13 - Nat. Capital Region,St. Therese of the Child Jesus Institute of Arts and Sciences,Private,Metro Manila,Pasay City,,02-8521-7362 ; 02-8521-7362
13 - Nat. Capital Region,Arellano University-Mandaluyong,Private,Metro Manila,City of Mandaluyong,http://www.arellano.edu.ph,5327741 ; 5327741
13 - Nat. Capital Region,La Verdad Christian College-Caloocan,Private,Metro Manila,City of Caloocan,,(02) 8866-5734 ;
13 - Nat. Capital Region,Rizal Technological University-Pasig,SUC,Metro Manila,City of Pasig,,
13 - Nat. Capital Region,Eclaro Academy,Private,Metro Manila,Quezon City,,8253-3859 ;
13 - Nat. Capital Region,Asia Harvesters College and Seminary,Private,Metro Manila,Quezon City,,(02) 952 - 9987 ; (02) 952 - 9987
13 - Nat. Capital Region,Don Carlo Cavina School,Private,Metro Manila,City of Las Piñas,,(02) 8805-0319 ;
13 - Nat. Capital Region,Integrated Innovation and Hospitality Colleges,Private,Metro Manila,Quezon City,,(02) 77549645 ;
13 - Nat. Capital Region,Philippine School of Interior Design- AHLEN Institute,Private,Metro Manila,City of Taguig,https://psidahlen.edu.ph/,(02) 84782499 ; (02) 84782499
13 - Nat. Capital Region,Recoletos School of Theology,Private,Metro Manila,Quezon City,http://www.rst.edu.ph,89512862 ;
13 - Nat. Capital Region,Dr. Jose Fabella Memorial Hospital School of Midwifery,OGS,Metro Manila,City of Manila,fabella.doh.gov.ph,(02) 8866-7960 to 74 Local 149 ;
13 - Nat. Capital Region,CIIT College of Arts and Technology,Private,Metro Manila,Quezon City,ciit.edu.ph,(028)441 0737 ;
13 - Nat. Capital Region,Southeast Asia Christian College,Private,Metro Manila,City of Caloocan,,(02)930-82-60 ;
13 - Nat. Capital Region,Datamex College of Saint Adeline-Parañaque,Private,Metro Manila,City of Parañaque,,70897516 ;
13 - Nat. Capital Region,FEU Institute of Technology,Private,Metro Manila,City of Manila,http://www.feutech.edu.ph,(02) 8281-8888 ; (02) 8835-3312
13 - Nat. Capital Region,Makati Science Technological Institute of the Philippines,Private,Metro Manila,City of Manila,mstip.edu.ph,87270576 ;
13 - Nat. Capital Region,Electron College of Technical Education,Private,Metro Manila,Quezon City,http://www.electroncollege.edu.ph,
13 - Nat. Capital Region,Marianum College,Private,Metro Manila,City of Muntinlupa,,(02) 8526-6704 ;
13 - Nat. Capital Region,Metropolitan Institute of Arts and Sciences,Private,Metro Manila,City of Caloocan,,85329237 ;
13 - Nat. Capital Region,Sapphire International Aviation Academy,Private,Metro Manila,City of Parañaque,http://www.sapphireaviationacademy.edu.ph,02 70913362 ;
13 - Nat. Capital Region,FEU Alabang,Private,Metro Manila,City of Muntinlupa,https://feualabang.edu.ph/,(02) 8288 8338 ;
13 - Nat. Capital Region,GK College of Business Arts and Technology,Private,Metro Manila,City of Mandaluyong,http://www.gkphilippines.com/gk-college,(02) 8280-2772 ;
13 - Nat. Capital Region,NBS College,Private,Metro Manila,Quezon City,http://www.nbscollege.edu.ph/,(63)2 3765090 ; (63)2 3765090
13 - Nat. Capital Region,St. Chamuel College,Private,Metro Manila,City of Taguig,,
13 - Nat. Capital Region,College of Saint Amatiel,Private,Metro Manila,City of Malabon,http://www.facebook.com/CSAMalabonCity?mibextid=LQQJ4d,83514993 ;
13 - Nat. Capital Region,South CompEdge College,Private,Metro Manila,City of Parañaque,,(02) 85540877 ;
13 - Nat. Capital Region,United Christian Academy College of Asia,Private,Metro Manila,City of Parañaque,http://www.ucaphil.online,(02) 84298325 ;
13 - Nat. Capital Region,Colegio de Muntinlupa,LUC,Metro Manila,City of Muntinlupa,http://www.cdm.edu.ph,(8)424-87-80 ;
13 - Nat. Capital Region,Parañaque City College,LUC,Metro Manila,City of Parañaque,,(028)8605470 ;
13 - Nat. Capital Region,ACLC College of Commonwealth,Private,Metro Manila,Quezon City,,77531715 ;
13 - Nat. Capital Region,ACLC College of Manila,Private,Metro Manila,City of Manila,aclcmanila.com,8735-0385 ;
13 - Nat. Capital Region,FEU Diliman,Private,Metro Manila,Quezon City,http://www.feudiliman.edu.ph,(632) 09064076850 ;
13 - Nat. Capital Region,NU Fairview,Private,Metro Manila,Quezon City,https://national-u.edu.ph/nu-fairview,(02) 8401-6760 loc (3308) ;
13 - Nat. Capital Region,St. Francis Technical Institute,Private,Metro Manila,City of Caloocan,,2853297 ;
13 - Nat. Capital Region,Mandaluyong College of Science and Technology,LUC,Metro Manila,City of Mandaluyong,,(+63) 9171539565 ;
13 - Nat. Capital Region,Iglesia ni Cristo (Church of Christ) School for Ministers,Private,Metro Manila,Quezon City,,632-981-4311 ;
