hospital,beds,category,street,city,sec,full_address,cleaned_query,fallback_query,lat,lon,geocode_provider,formatted_address,quality_note
VIAN FAMILY HOSPITAL II,6,INF/DISP,"411 QUIRINO HIGHWAY, TALIPAPA,
NOVALICHES,",QUEZON CITY,P,"VIAN FAMILY HOSPITAL II, 411 QUIRINO HIGHWAY, TALIPAPA,
NOVALICHES,, QUEZON CITY",vian family hospital ii 411 quirino highway talipapa novaliches quezon city metro manila philippines,"VIAN FAMILY HOSPITAL II, 411 QUIRINO HIGHWAY, TALIPAPA,
NOVALICHES,, QUEZON CITY, Metro Manila, Philippines",,,,,
VICTORIANO LUNA MEDICAL CENTER,1200,LEVEL 3,"V. LUNA ROAD, PINYAHAN",QUEZON CITY,G,"VICTORIANO LUNA MEDICAL CENTER, V. LUNA ROAD, PINYAHAN, QUEZON CITY",victoriano luna medical center v. luna road pinyahan quezon city metro manila philippines,"VICTORIANO LUNA MEDICAL CENTER, V. LUNA ROAD, PINYAHAN, QUEZON CITY, Metro Manila, Philippines",,,,,
"VILLAROSA HOSPITAL, INC.",10,INF/DISP,"11 SALALILLA ST., PROJECT 4,",QUEZON CITY,P,"VILLAROSA HOSPITAL, INC., 11 SALALILLA ST., PROJECT 4,, QUEZON CITY",villarosa hospital inc. 11 salalilla street. project 4 quezon city metro manila philippines,"VILLAROSA HOSPITAL, INC., 11 SALALILLA ST., PROJECT 4,, QUEZON CITY, Metro Manila, Philippines",,,,,
"VILLON-TANSINSIN HOSPITAL, INC.",20,LEVEL 1,"3 TOYOTA AVE. COR. GUERILLA ST.,
STO. NIÑO,",MARIKINA CITY,P,"VILLON-TANSINSIN HOSPITAL, INC., 3 TOYOTA AVE. COR. GUERILLA ST.,
STO. NIÑO,, MARIKINA CITY",villon-tansinsin hospital inc. 3 toyota avenue. cor. guerilla street. sto. nino marikina city metro manila philippines,"VILLON-TANSINSIN HOSPITAL, INC., 3 TOYOTA AVE. COR. GUERILLA ST.,
STO. NIÑO,, MARIKINA CITY, Metro Manila, Philippines",,,,,
"WORD OF HOPE GENERAL HOSPITAL
FOUNDATION, INC.",30,LEVEL 1,"23 BUENAMAR ST., NOVALICHES,",QUEZON CITY,P,"WORD OF HOPE GENERAL HOSPITAL
FOUNDATION, INC., 23 BUENAMAR ST., NOVALICHES,, QUEZON CITY",word of hope general hospital foundation inc. 23 buenamar street. novaliches quezon city metro manila philippines,"WORD OF HOPE GENERAL HOSPITAL
FOUNDATION, INC., 23 BUENAMAR ST., NOVALICHES,, QUEZON CITY, Metro Manila, Philippines",,,,,
WORLD CITI MEDICAL CENTER,122,LEVEL 3,"960 AURORA BLVD., BRGY. BAGONG
BUHAY,",QUEZON CITY,P,"WORLD CITI MEDICAL CENTER, 960 AURORA BLVD., BRGY. BAGONG
BUHAY,, QUEZON CITY",world citi medical center 960 aurora boulevard. barangay. bagong buhay quezon city metro manila philippines,"WORLD CITI MEDICAL CENTER, 960 AURORA BLVD., BRGY. BAGONG
BUHAY,, QUEZON CITY, Metro Manila, Philippines",,,,,
ACEBEDO GENERAL HOSPITAL,16,LEVEL 1,"849 GENERAL LUIS ST., BAGBAGUIN,",CALOOCAN CITY,P,"ACEBEDO GENERAL HOSPITAL, 849 GENERAL LUIS ST., BAGBAGUIN,, CALOOCAN CITY",acebedo general hospital 849 general luis street. bagbaguin caloocan city metro manila philippines,"ACEBEDO GENERAL HOSPITAL, 849 GENERAL LUIS ST., BAGBAGUIN,, CALOOCAN CITY, Metro Manila, Philippines",,,,,
"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER MANDALUYONG, INC.",55,LEVEL 2,"145 HAIG ST., BRGY. DAANG BAKAL,",MANDALUYONG CITY,P,"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER MANDALUYONG, INC., 145 HAIG ST., BRGY. DAANG BAKAL,, MANDALUYONG CITY",allied care experts (ace) medical center mandaluyong inc. 145 haig street. barangay. daang bakal mandaluyong city metro manila philippines,"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER MANDALUYONG, INC., 145 HAIG ST., BRGY. DAANG BAKAL,, MANDALUYONG CITY, Metro Manila, Philippines",,,,,
"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER VALENZUELA, INC.",82,LEVEL 2,"548 MC ARTHUR HIGHWAY,
MALANDAY,",VALENZUELA CITY,P,"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER VALENZUELA, INC., 548 MC ARTHUR HIGHWAY,
MALANDAY,, VALENZUELA CITY",allied care experts (ace) medical center valenzuela inc. 548 mc arthur highway malanday valenzuela city metro manila philippines,"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER VALENZUELA, INC., 548 MC ARTHUR HIGHWAY,
MALANDAY,, VALENZUELA CITY, Metro Manila, Philippines",,,,,
"BERMUDEZ POLYMEDIC HOSPITAL, INC.",20,LEVEL 1,"391 MALARIA ROAD, BRGY. 185, ZONE
16, DISTRICT 1, TALA,",CALOOCAN CITY,P,"BERMUDEZ POLYMEDIC HOSPITAL, INC., 391 MALARIA ROAD, BRGY. 185, ZONE
16, DISTRICT 1, TALA,, CALOOCAN CITY",bermudez polymedic hospital inc. 391 malaria road barangay. 185 zone 16 district 1 tala caloocan city metro manila philippines,"BERMUDEZ POLYMEDIC HOSPITAL, INC., 391 MALARIA ROAD, BRGY. 185, ZONE
16, DISTRICT 1, TALA,, CALOOCAN CITY, Metro Manila, Philippines",,,,,
CALOOCAN CITY MEDICAL CENTER,82,LEVEL 1,"450 A. MABINI ST.,",CALOOCAN CITY,G,"CALOOCAN CITY MEDICAL CENTER, 450 A. MABINI ST.,, CALOOCAN CITY",caloocan city medical center 450 a. mabini street. caloocan city metro manila philippines,,14.6483271,120.9736139,google,"450 A. Mabini St, Poblacion, Caloocan, 1400 Metro Manila, Philippines",CLEANED|ROOFTOP
CALOOCAN CITY NORTH MEDICAL CENTER,50,LEVEL 1,"SUSANO ROAD, BRGY. 177, CAMARIN,",CALOOCAN CITY,G,"CALOOCAN CITY NORTH MEDICAL CENTER, SUSANO ROAD, BRGY. 177, CAMARIN,, CALOOCAN CITY",caloocan city north medical center susano road barangay. 177 camarin caloocan city metro manila philippines,"CALOOCAN CITY NORTH MEDICAL CENTER, SUSANO ROAD, BRGY. 177, CAMARIN,, CALOOCAN CITY, Metro Manila, Philippines",,,,,
CAMARIN DOCTORS HOSPITAL,105,LEVEL 2,"NO. 1 CAMARIN ROAD, BRGY. 172,
CAMARIN",CALOOCAN CITY,P,"CAMARIN DOCTORS HOSPITAL, NO. 1 CAMARIN ROAD, BRGY. 172,
CAMARIN, CALOOCAN CITY",camarin doctors hospital no. 1 camarin road barangay. 172 camarin caloocan city metro manila philippines,,14.7532777,121.0401506,google,"Camarin Doctors Hospital, 1 Camarin Rd, Caloocan, 1421 Metro Manila, Philippines",CLEANED|ROOFTOP
CHINESE GENERAL HOSPITAL & MEDICAL CENTER,592,LEVEL 3,"#286 BLUMENTRITT ST.,","SANTA CRUZ, MANILA",P,"CHINESE GENERAL HOSPITAL & MEDICAL CENTER, #286 BLUMENTRITT ST.,, SANTA CRUZ, MANILA",chinese general hospital & medical center #286 blumentritt street. santa cruz manila metro manila philippines,"CHINESE GENERAL HOSPITAL & MEDICAL CENTER, #286 BLUMENTRITT ST.,, SANTA CRUZ, MANILA, Metro Manila, Philippines",14.6263316,120.9877647,google,"286 Blumentritt Rd, Santa Cruz, Manila, 1014 Metro Manila, Philippines",FALLBACK_FULL|ROOFTOP
CURE AND CARE MATERNITY HOSPITAL OPC,18,LEVEL 1,"1068 HERMOSA ST., MANUGUIT,","TONDO, MANILA",P,"CURE AND CARE MATERNITY HOSPITAL OPC, 1068 HERMOSA ST., MANUGUIT,, TONDO, MANILA",cure and care maternity hospital opc 1068 hermosa street. manuguit tondo manila metro manila philippines,"CURE AND CARE MATERNITY HOSPITAL OPC, 1068 HERMOSA ST., MANUGUIT,, TONDO, MANILA, Metro Manila, Philippines",,,,,
DE OCAMPO MEMORIAL MEDICAL CENTER,20,LEVEL 1,"2921 NAGTAHAN ST.,","SANTA MESA, MANILA",P,"DE OCAMPO MEMORIAL MEDICAL CENTER, 2921 NAGTAHAN ST.,, SANTA MESA, MANILA",de ocampo memorial medical center 2921 nagtahan street. santa mesa manila metro manila philippines,,14.5999326,120.9996775,google,"De Ocampo Memorial Medical Center, 2921 Nagtahan St, Santa Mesa, Manila, 1016 Metro Manila, Philippines",CLEANED|ROOFTOP
DR. JOSE FABELLA MEMORIAL HOSPITAL,700,LEVEL 3,"SAN LAZARO COMPOUND, TAYUMAN
ST.","SANTA CRUZ, MANILA",G,"DR. JOSE FABELLA MEMORIAL HOSPITAL, SAN LAZARO COMPOUND, TAYUMAN
ST., SANTA CRUZ, MANILA",dr. jose fabella memorial hospital san lazaro compound tayuman street. santa cruz manila metro manila philippines,"DR. JOSE FABELLA MEMORIAL HOSPITAL, SAN LAZARO COMPOUND, TAYUMAN
ST., SANTA CRUZ, MANILA, Metro Manila, Philippines",,,,,
DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL AND SANITARIUM,459,LEVEL 3,"ST. JOSEPH AVENUE (DR. UYGUANCO STREET), ADMINISTRATION SITE, TALA,",CALOOCAN CITY,G,"DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL AND SANITARIUM, ST. JOSEPH AVENUE (DR. UYGUANCO STREET), ADMINISTRATION SITE, TALA,, CALOOCAN CITY",dr. jose n. rodriguez memorial hospital and sanitarium street. joseph avenue (dr. uyguanco street) administration site tala caloocan city metro manila philippines,"DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL AND SANITARIUM, ST. JOSEPH AVENUE (DR. UYGUANCO STREET), ADMINISTRATION SITE, TALA,, CALOOCAN CITY, Metro Manila, Philippines",,,,,
"DR. VICTOR R. POTENCIANO MEDICAL
CENTER",170,LEVEL 3,"163 EDSA,",MANDALUYONG CITY,P,"DR. VICTOR R. POTENCIANO MEDICAL
CENTER, 163 EDSA,, MANDALUYONG CITY",dr. victor r. potenciano medical center 163 edsa mandaluyong city metro manila philippines,"DR. VICTOR R. POTENCIANO MEDICAL
CENTER, 163 EDSA,, MANDALUYONG CITY, Metro Manila, Philippines",,,,,
"FATIMA UNIVERSITY MEDICAL CENTER
CORPORATION",150,LEVEL 3,"120 MC ARTHUR HIGHWAY, MARULAS",VALENZUELA CITY,P,"FATIMA UNIVERSITY MEDICAL CENTER
CORPORATION, 120 MC ARTHUR HIGHWAY, MARULAS, VALENZUELA CITY",fatima university medical center corporation 120 mc arthur highway marulas valenzuela city metro manila philippines,"FATIMA UNIVERSITY MEDICAL CENTER
CORPORATION, 120 MC ARTHUR HIGHWAY, MARULAS, VALENZUELA CITY, Metro Manila, Philippines",,,,,
GAT ANDRES BONIFACIO MEDICAL CENTER,150,LEVEL 1,"8001 DELPAN ST.,","TONDO, MANILA",G,"GAT ANDRES BONIFACIO MEDICAL CENTER, 8001 DELPAN ST.,, TONDO, MANILA",gat andres bonifacio medical center 8001 delpan street. tondo manila metro manila philippines,"GAT ANDRES BONIFACIO MEDICAL CENTER, 8001 DELPAN ST.,, TONDO, MANILA, Metro Manila, Philippines",,,,,
"HOSPITAL OF THE INFANT JESUS MEDICAL
CENTER",140,LEVEL 3,"1556 LAON LAAN ROAD,","SAMPALOC, MANILA",P,"HOSPITAL OF THE INFANT JESUS MEDICAL
CENTER, 1556 LAON LAAN ROAD,, SAMPALOC, MANILA",hospital of the infant jesus medical center 1556 laon laan road sampaloc manila metro manila philippines,,14.6141784,120.9892663,google,"1556 Laong Laan Rd, Sampaloc, Manila, 1008 Metro Manila, Philippines",CLEANED|ROOFTOP
JOSE R. REYES MEMORIAL MEDICAL CENTER,450,LEVEL 3,"SAN LAZARO COMPOUD, RIZAL
AVENUE,","SANTA CRUZ, MANILA",G,"JOSE R. REYES MEMORIAL MEDICAL CENTER, SAN LAZARO COMPOUD, RIZAL
AVENUE,, SANTA CRUZ, MANILA",jose r. reyes memorial medical center san lazaro compoud rizal avenue santa cruz manila metro manila philippines,"JOSE R. REYES MEMORIAL MEDICAL CENTER, SAN LAZARO COMPOUD, RIZAL
AVENUE,, SANTA CRUZ, MANILA, Metro Manila, Philippines",,,,,
"JUSTICE JOSE ABAD SANTOS GENERAL
HOSPITAL",150,LEVEL 1,"NUMANCIA ST.,","BINONDO, MANILA",G,"JUSTICE JOSE ABAD SANTOS GENERAL
HOSPITAL, NUMANCIA ST.,, BINONDO, MANILA",justice jose abad santos general hospital numancia street. binondo manila metro manila philippines,,14.597597,120.97194,google,"HXXC+2QP, Numancia St, Binondo, Manila, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"LADY OF LOURDES HOSPITAL & COLLEGES OF CAYBIGA, INC.",12,INF/DISP,"15 GEN. LUIS ST., CAYBIGA,",CALOOCAN CITY,P,"LADY OF LOURDES HOSPITAL & COLLEGES OF CAYBIGA, INC., 15 GEN. LUIS ST., CAYBIGA,, CALOOCAN CITY",lady of lourdes hospital & colleges of caybiga inc. 15 gen. luis street. caybiga caloocan city metro manila philippines,"LADY OF LOURDES HOSPITAL & COLLEGES OF CAYBIGA, INC., 15 GEN. LUIS ST., CAYBIGA,, CALOOCAN CITY, Metro Manila, Philippines",,,,,
"MALABON HOSPITAL AND MEDICAL CENTER,
INC.",42,LEVEL 2,"264 GOV. PASCUAL, BRGY. CATMON,",MALABON,P,"MALABON HOSPITAL AND MEDICAL CENTER,
INC., 264 GOV. PASCUAL, BRGY. CATMON,, MALABON",malabon hospital and medical center inc. 264 gov. pascual barangay. catmon malabon metro manila philippines,"MALABON HOSPITAL AND MEDICAL CENTER,
INC., 264 GOV. PASCUAL, BRGY. CATMON,, MALABON, Metro Manila, Philippines",,,,,
MANDALUYONG CITY MEDICAL CENTER,200,LEVEL 2,"C3 ROAD F. MARTINEZ AVE. ADDITION
HILLS",MANDALUYONG CITY,G,"MANDALUYONG CITY MEDICAL CENTER, C3 ROAD F. MARTINEZ AVE. ADDITION
HILLS, MANDALUYONG CITY",mandaluyong city medical center c3 road f. martinez avenue. addition hills mandaluyong city metro manila philippines,"MANDALUYONG CITY MEDICAL CENTER, C3 ROAD F. MARTINEZ AVE. ADDITION
HILLS, MANDALUYONG CITY, Metro Manila, Philippines",,,,,
"MANILA CENTRAL UNIVERSITY-DR. FILEMON
D. TANCHOCO, SR. MEDICAL FOUNDATION, INC.",81,LEVEL 3,"EDSA,",CALOOCAN CITY,P,"MANILA CENTRAL UNIVERSITY-DR. FILEMON
D. TANCHOCO, SR. MEDICAL FOUNDATION, INC., EDSA,, CALOOCAN CITY",manila central university-dr. filemon d. tanchoco sr. medical foundation inc. edsa caloocan city metro manila philippines,,14.657555,120.9871406,google,"MCU Hospital, Morning Breeze Subdivision, Caloocan, 1400 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
MANILA DOCTORS HOSPITAL,300,LEVEL 3,"667 UNITED NATIONS AVE.,","ERMITA, MANILA",P,"MANILA DOCTORS HOSPITAL, 667 UNITED NATIONS AVE.,, ERMITA, MANILA",manila doctors hospital 667 united nations avenue. ermita manila metro manila philippines,"MANILA DOCTORS HOSPITAL, 667 UNITED NATIONS AVE.,, ERMITA, MANILA, Metro Manila, Philippines",,,,,
"MARKVIM HOSPITAL, INC.",8,INF/DISP,"B8 L49 DAHLIA ST., ALMAR SUBD.,
CAMARIN,",CALOOCAN CITY,P,"MARKVIM HOSPITAL, INC., B8 L49 DAHLIA ST., ALMAR SUBD.,
CAMARIN,, CALOOCAN CITY",markvim hospital inc. b8 l49 dahlia street. almar subd. camarin caloocan city metro manila philippines,"MARKVIM HOSPITAL, INC., B8 L49 DAHLIA ST., ALMAR SUBD.,
CAMARIN,, CALOOCAN CITY, Metro Manila, Philippines",,,,,
"MARTINEZ MEMORIAL HOSPITAL, INC.",12,LEVEL 1,"198 A. MABINI ST., MAYPAJO,",CALOOCAN CITY,P,"MARTINEZ MEMORIAL HOSPITAL, INC., 198 A. MABINI ST., MAYPAJO,, CALOOCAN CITY",martinez memorial hospital inc. 198 a. mabini street. maypajo caloocan city metro manila philippines,"MARTINEZ MEMORIAL HOSPITAL, INC., 198 A. MABINI ST., MAYPAJO,, CALOOCAN CITY, Metro Manila, Philippines",,,,,
"MARY CHILES GENERAL HOSPITAL, INC.",100,LEVEL 3,"667 GASTAMBIDE ST.,","SAMPALOC, MANILA",P,"MARY CHILES GENERAL HOSPITAL, INC., 667 GASTAMBIDE ST.,, SAMPALOC, MANILA",mary chiles general hospital inc. 667 gastambide street. sampaloc manila metro manila philippines,"MARY CHILES GENERAL HOSPITAL, INC., 667 GASTAMBIDE ST.,, SAMPALOC, MANILA, Metro Manila, Philippines",,,,,
"MARY JOHNSTON HOSPITAL, INC.",120,LEVEL 3,"1221 JUAN NOLASCO ST.,","TONDO, MANILA",P,"MARY JOHNSTON HOSPITAL, INC., 1221 JUAN NOLASCO ST.,, TONDO, MANILA",mary johnston hospital inc. 1221 juan nolasco street. tondo manila metro manila philippines,"MARY JOHNSTON HOSPITAL, INC., 1221 JUAN NOLASCO ST.,, TONDO, MANILA, Metro Manila, Philippines",,,,,
"MEDICAL CENTER MANILA, INC.",200,LEVEL 3,"850 UNITED NATIONS ST.,","ERMITA, MANILA",P,"MEDICAL CENTER MANILA, INC., 850 UNITED NATIONS ST.,, ERMITA, MANILA",medical center manila inc. 850 united nations street. ermita manila metro manila philippines,"MEDICAL CENTER MANILA, INC., 850 UNITED NATIONS ST.,, ERMITA, MANILA, Metro Manila, Philippines",,,,,
METROPOLITAN MEDICAL CENTER,295,LEVEL 3,"1357 MASANGKAY ST.,","SANTA CRUZ, MANILA",P,"METROPOLITAN MEDICAL CENTER, 1357 MASANGKAY ST.,, SANTA CRUZ, MANILA",metropolitan medical center 1357 masangkay street. santa cruz manila metro manila philippines,"METROPOLITAN MEDICAL CENTER, 1357 MASANGKAY ST.,, SANTA CRUZ, MANILA, Metro Manila, Philippines",,,,,
NATIONAL CENTER FOR MENTAL HEALTH,4200,LEVEL 3,"9 DE FEBRERO ST.,",MANDALUYONG CITY,G,"NATIONAL CENTER FOR MENTAL HEALTH, 9 DE FEBRERO ST.,, MANDALUYONG CITY",national center for mental health 9 de febrero street. mandaluyong city metro manila philippines,"NATIONAL CENTER FOR MENTAL HEALTH, 9 DE FEBRERO ST.,, MANDALUYONG CITY, Metro Manila, Philippines",,,,,
NAVOTAS CITY HOSPITAL,50,LEVEL 1,"M. NAVAL ST., BRGY. SAN JOSE,",NAVOTAS,G,"NAVOTAS CITY HOSPITAL, M. NAVAL ST., BRGY. SAN JOSE,, NAVOTAS",navotas city hospital m. naval street. barangay. san jose navotas metro manila philippines,"NAVOTAS CITY HOSPITAL, M. NAVAL ST., BRGY. SAN JOSE,, NAVOTAS, Metro Manila, Philippines",,,,,
NODADO GENERAL HOSPITAL,40,LEVEL 1,"CAPT. SAMANO ST., AREA A CAMARIN,
BRGY. 175,",CALOOCAN CITY,P,"NODADO GENERAL HOSPITAL, CAPT. SAMANO ST., AREA A CAMARIN,
BRGY. 175,, CALOOCAN CITY",nodado general hospital capt. samano street. area a camarin barangay. 175 caloocan city metro manila philippines,"NODADO GENERAL HOSPITAL, CAPT. SAMANO ST., AREA A CAMARIN,
BRGY. 175,, CALOOCAN CITY, Metro Manila, Philippines",,,,,
"NORTH CALOOCAN DOCTORS HOSPITAL, INC.",29,LEVEL 1,"L31 B10 QUIRINO HIGHWAY, BANKERS
VILLAGE 2,",CALOOCAN CITY,P,"NORTH CALOOCAN DOCTORS HOSPITAL, INC., L31 B10 QUIRINO HIGHWAY, BANKERS
VILLAGE 2,, CALOOCAN CITY",north caloocan doctors hospital inc. l31 b10 quirino highway bankers 2 caloocan city metro manila philippines,"NORTH CALOOCAN DOCTORS HOSPITAL, INC., L31 B10 QUIRINO HIGHWAY, BANKERS
VILLAGE 2,, CALOOCAN CITY, Metro Manila, Philippines",,,,,
OSPITAL NG MALABON,34,LEVEL 1,"F. SEVILLA BOULEVARD, TAÑONG,",MALABON,G,"OSPITAL NG MALABON, F. SEVILLA BOULEVARD, TAÑONG,, MALABON",ospital ng malabon f. sevilla boulevard tanong malabon metro manila philippines,,14.6572718,120.950608,google,"MX42+W65, Malabon, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
OSPITAL NG MAYNILA MEDICAL CENTER,300,LEVEL 3,"PRES. QUIRINO AVE. COR. ROXAS BLVD.,","MALATE, MANILA",G,"OSPITAL NG MAYNILA MEDICAL CENTER, PRES. QUIRINO AVE. COR. ROXAS BLVD.,, MALATE, MANILA",ospital ng maynila medical center pres. quirino avenue. cor. roxas boulevard. malate manila metro manila philippines,"OSPITAL NG MAYNILA MEDICAL CENTER, PRES. QUIRINO AVE. COR. ROXAS BLVD.,, MALATE, MANILA, Metro Manila, Philippines",,,,,
OSPITAL NG SAMPALOC,50,LEVEL 1,"677 GERONIMO ST. COR. CAROLA ST.,","SAMPALOC, MANILA",G,"OSPITAL NG SAMPALOC, 677 GERONIMO ST. COR. CAROLA ST.,, SAMPALOC, MANILA",ospital ng sampaloc 677 geronimo street. cor. carola street. sampaloc manila metro manila philippines,"OSPITAL NG SAMPALOC, 677 GERONIMO ST. COR. CAROLA ST.,, SAMPALOC, MANILA, Metro Manila, Philippines",,,,,
OSPITAL NG TONDO,50,LEVEL 1,"BRGY. 215, JOSE ABAD SANTOS AVE.,","TONDO, MANILA",G,"OSPITAL NG TONDO, BRGY. 215, JOSE ABAD SANTOS AVE.,, TONDO, MANILA",ospital ng tondo barangay. 215 jose abad santos avenue. tondo manila metro manila philippines,"OSPITAL NG TONDO, BRGY. 215, JOSE ABAD SANTOS AVE.,, TONDO, MANILA, Metro Manila, Philippines",,,,,
"OUR LADY OF GRACE HOSPITAL, INC.",28,LEVEL 1,"8TH AVENUE COR. F. ROXAS ST., WEST
GRACE PARK,",CALOOCAN CITY,P,"OUR LADY OF GRACE HOSPITAL, INC., 8TH AVENUE COR. F. ROXAS ST., WEST
GRACE PARK,, CALOOCAN CITY",our lady of grace hospital inc. 8th avenue cor. f. roxas street. west grace park caloocan city metro manila philippines,"OUR LADY OF GRACE HOSPITAL, INC., 8TH AVENUE COR. F. ROXAS ST., WEST
GRACE PARK,, CALOOCAN CITY, Metro Manila, Philippines",,,,,
OUR LADY OF LOURDES HOSPITAL,230,LEVEL 3,"46 P. SANCHEZ ST.,","SANTA MESA, MANILA",P,"OUR LADY OF LOURDES HOSPITAL, 46 P. SANCHEZ ST.,, SANTA MESA, MANILA",our lady of lourdes hospital 46 p. sanchez street. santa mesa manila metro manila philippines,,14.5949547,121.0225571,google,"46 P. Sanchez St, Santa Mesa, Manila, Metro Manila, Philippines",CLEANED|ROOFTOP
"PERPETUAL SUCCOR HOSPITAL & MATERNITY, INC.",65,LEVEL 1,"836 F. CAYCO ST.,","SAMPALOC, MANILA",P,"PERPETUAL SUCCOR HOSPITAL & MATERNITY, INC., 836 F. CAYCO ST.,, SAMPALOC, MANILA",perpetual succor hospital & maternity inc. 836 f. cayco street. sampaloc manila metro manila philippines,"PERPETUAL SUCCOR HOSPITAL & MATERNITY, INC., 836 F. CAYCO ST.,, SAMPALOC, MANILA, Metro Manila, Philippines",,,,,
"PRESIDENTIAL SECURITY COMMAND STATION
HOSPITAL",20,INF/DISP,"1939 MENDOZA GUANZON, MALACAÑANG PARK,","ERMITA, MANILA",G,"PRESIDENTIAL SECURITY COMMAND STATION
HOSPITAL, 1939 MENDOZA GUANZON, MALACAÑANG PARK,, ERMITA, MANILA",presidential security command station hospital 1939 mendoza guanzon malacanang park ermita manila metro manila philippines,"PRESIDENTIAL SECURITY COMMAND STATION
HOSPITAL, 1939 MENDOZA GUANZON, MALACAÑANG PARK,, ERMITA, MANILA, Metro Manila, Philippines",,,,,
SAN LAZARO HOSPITAL,363,LEVEL 3,"QUIRICADA ST.,","SANTA CRUZ, MANILA",G,"SAN LAZARO HOSPITAL, QUIRICADA ST.,, SANTA CRUZ, MANILA",san lazaro hospital quiricada street. santa cruz manila metro manila philippines,"SAN LAZARO HOSPITAL, QUIRICADA ST.,, SANTA CRUZ, MANILA, Metro Manila, Philippines",,,,,
"SAN LORENZO HOSPITAL HEALTH
MANAGEMENT CO., INC.",15,INF/DISP,"24 SUSANO RD., BRGY. 170,  ZONE 15, DEPARO,",CALOOCAN CITY,P,"SAN LORENZO HOSPITAL HEALTH
MANAGEMENT CO., INC., 24 SUSANO RD., BRGY. 170,  ZONE 15, DEPARO,, CALOOCAN CITY",san lorenzo hospital health management co. inc. 24 susano road. barangay. 170 zone 15 deparo caloocan city metro manila philippines,"SAN LORENZO HOSPITAL HEALTH
MANAGEMENT CO., INC., 24 SUSANO RD., BRGY. 170,  ZONE 15, DEPARO,, CALOOCAN CITY, Metro Manila, Philippines",,,,,
SAN LORENZO RUIZ GENERAL HOSPITAL,10,LEVEL 1,"25 O. REYES ST., SANTULAN",MALABON,G,"SAN LORENZO RUIZ GENERAL HOSPITAL, 25 O. REYES ST., SANTULAN, MALABON",san lorenzo ruiz general hospital 25 o. reyes street. santulan malabon metro manila philippines,"SAN LORENZO RUIZ GENERAL HOSPITAL, 25 O. REYES ST., SANTULAN, MALABON, Metro Manila, Philippines",,,,,
SEAMEN'S HOSPITAL,100,LEVEL 3,"CABILDO ST., COR. SAN JOSE ST.,","INTRAMUROS, MANILA",P,"SEAMEN'S HOSPITAL, CABILDO ST., COR. SAN JOSE ST.,, INTRAMUROS, MANILA",seamen's hospital cabildo street. cor. san jose street. intramuros manila metro manila philippines,"SEAMEN'S HOSPITAL, CABILDO ST., COR. SAN JOSE ST.,, INTRAMUROS, MANILA, Metro Manila, Philippines",,,,,
STA. ANA HOSPITAL,300,LEVEL 3,"2629 NEW PANADEROS ST.,","STA. ANA, MANILA",G,"STA. ANA HOSPITAL, 2629 NEW PANADEROS ST.,, STA. ANA, MANILA",sta. ana hospital 2629 new panaderos street. sta. ana manila metro manila philippines,,14.583335,121.016499,google,"H2M8+8HQ, New Panaderos, Santa Ana, Manila, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
TONDO MEDICAL CENTER,300,LEVEL 3,"HONORIO LOPEZ BOULEVARD, BALUT,","TONDO, MANILA",G,"TONDO MEDICAL CENTER, HONORIO LOPEZ BOULEVARD, BALUT,, TONDO, MANILA",tondo medical center honorio lopez boulevard balut tondo manila metro manila philippines,,14.6348716,120.9630926,google,"Honorio Lopez Blvd, Tondo, Manila, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"TRINITY WOMAN & CHILD CENTER ""THE
BIRTHPLACE""",18,LEVEL 1,"2732 NEW PANADEROS ST.,","STA. ANA, MANILA",P,"TRINITY WOMAN & CHILD CENTER ""THE
BIRTHPLACE"", 2732 NEW PANADEROS ST.,, STA. ANA, MANILA","trinity woman & child center ""the birthplace"" 2732 new panaderos street. sta. ana manila metro manila philippines","TRINITY WOMAN & CHILD CENTER ""THE
BIRTHPLACE"", 2732 NEW PANADEROS ST.,, STA. ANA, MANILA, Metro Manila, Philippines",,,,,
UNIVERSITY OF SANTO TOMAS HOSPITAL,700,LEVEL 3,"ESPAÑA BOULEVARD,","SAMPALOC, MANILA",P,"UNIVERSITY OF SANTO TOMAS HOSPITAL, ESPAÑA BOULEVARD,, SAMPALOC, MANILA",university of santo tomas hospital espana boulevard sampaloc manila metro manila philippines,,14.6107432,120.9902641,google,"España Blvd, Sampaloc, Manila, 1015 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
